drugbank_id,atc_code,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,l4_code,l4_name
DB00001,B01AE02,B01AE,Direct thrombin inhibitors,B01A,ANTITHROMBOTIC AGENTS,B01,ANTITHROMBOTIC AGENTS,B,BLOOD AND BLOOD FORMING ORGANS
DB00002,L01FE01,L01FE,EGFR (Epidermal Growth Factor Receptor) inhibitors,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01,ANTINEOPLASTIC AGENTS,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
DB00003,R05CB13,R05CB,Mucolytics,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05,COUGH AND COLD PREPARATIONS,R,RESPIRATORY SYSTEM
DB00004,L01XX29,L01XX,Other antineoplastic agents,L01X,OTHER ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AGENTS,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
DB00005,L04AB01,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,L04A,IMMUNOSUPPRESSANTS,L04,IMMUNOSUPPRESSANTS,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
DB00006,B01AE06,B01AE,Direct thrombin inhibitors,B01A,ANTITHROMBOTIC AGENTS,B01,ANTITHROMBOTIC AGENTS,B,BLOOD AND BLOOD FORMING ORGANS
DB00007,L02AE51,L02AE,Gonadotropin releasing hormone analogues,L02A,HORMONES AND RELATED AGENTS,L02,ENDOCRINE THERAPY,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
DB00007,L02AE02,L02AE,Gonadotropin releasing hormone analogues,L02A,HORMONES AND RELATED AGENTS,L02,ENDOCRINE THERAPY,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
DB00008,L03AB11,L03AB,Interferons,L03A,IMMUNOSTIMULANTS,L03,IMMUNOSTIMULANTS,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
DB00008,L03AB61,L03AB,Interferons,L03A,IMMUNOSTIMULANTS,L03,IMMUNOSTIMULANTS,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
