category_id,category_name,mesh_id
1,"Amino Acids, Peptides, and Proteins",D000602
2,Anticoagulants,D000925
3,Antithrombin Proteins,D058833
4,Antithrombins,D000991
5,Blood and Blood Forming Organs,
6,Cardiovascular Agents,D002317
7,Enzyme Inhibitors,D004791
8,Fibrin Modulating Agents,D050299
9,Hematologic Agents,D006401
10,Peptides,D010455
11,Protease Inhibitors,D011480
12,Proteins,D011506
13,Serine Protease Inhibitors,D015842
14,Serpins,D015843
15,Thrombin Inhibitors,
16,Antibodies,D000906
17,"Antibodies, Monoclonal",D000911
18,"Antibodies, Monoclonal, Humanized",D061067
19,Antineoplastic Agents,D000970
20,"Antineoplastic Agents, Immunological",D000074322
21,Antineoplastic and Immunomodulating Agents,
22,Blood Proteins,D001798
23,Cancer immunotherapy,
24,EGFR (Epidermal Growth Factor Receptor) inhibitors,
25,Epidermal Growth Factor Receptor Antagonist,
26,Globulins,D005916
27,HER1 Antagonists,
28,Immunoglobulins,D007136
29,Immunoproteins,D007162
30,Immunotherapy,D007167
31,Monoclonal antibodies and antibody drug conjugates,
32,Narrow Therapeutic Index Drugs,
33,Serum Globulins,D012712
34,Cough and Cold Preparations,
35,Decreased Respiratory Secretion Viscosity,
36,Deoxyribonucleases,D003851
37,Endodeoxyribonucleases,D004706
38,Endonucleases,D004720
39,Enzymes,D004798
40,Enzymes and Coenzymes,D045762
41,Esterases,D004950
42,Expectorants,D005100
43,Hydrolases,D006867
44,Recombinant Human Deoxyribonuclease 1,
45,ADP Ribose Transferases,D036002
46,Bacterial Toxins,D001427
47,Biological Factors,D001685
48,CD25-directed Cytotoxin,
49,Cytotoxins,D003603
50,Intercellular Signaling Peptides and Proteins,D036341
51,Interleukins,D007378
52,Recombinant Fusion Proteins,D011993
53,Recombinant Proteins,D011994
54,"Toxins, Biological",D014118
55,Agents reducing cytokine levels,
56,Anti-Inflammatory Agents,D000893
57,Antirheumatic Agents,D018501
58,Biological Products,D001688
59,Biologics for Rheumatoid Arthritis Treatment,
60,Dermatologicals,D003879
61,Disease-modifying Antirheumatic Agents,
62,Immunoglobulin Constant Regions,D007127
63,Immunoglobulin Fc Fragments,D007141
64,Immunoglobulin Fragments,D007128
65,Immunoglobulin Isotypes,D007132
66,Immunologic Factors,D007155
67,Immunosuppressive Agents,D007166
68,Membrane Proteins,D008565
69,Tumor necrosis factor alpha (TNF-alpha) inhibitors,
70,Tumor Necrosis Factor Blockers,D000079424
71,Adrenal Cortex Hormones,D000305
72,Agents Causing Muscle Toxicity,
73,"Antineoplastic Agents, Hormonal",D018931
74,Drugs causing inadvertant photosensitivity,
75,Drugs that are Mainly Renally Excreted,
76,Endocrine Therapy,
77,Fertility Agents,D005299
78,"Fertility Agents, Female",D005300
79,Gonadotropin Releasing Hormone Receptor Agonist,
80,Gonadotropin Releasing Hormone Receptor Agonists,
81,Gonadotropin-releasing hormone agonist,D007987
82,Gonadotropins,D006062
83,Hormones and Related Agents,
84,Hyperglycemia-Associated Agents,
85,Hypothalamic Hormones,D007028
86,Moderate Risk QTc-Prolonging Agents,
87,Nerve Tissue Proteins,D009419
88,Neuropeptides,D009479
89,Oligopeptides,D009842
90,Photosensitizing Agents,D017319
91,Pituitary Hormone-Releasing Hormones,D010906
92,QTc Prolonging Agents,
93,Reproductive Control Agents,D012102
94,"Adjuvants, Immunologic",D000276
95,Alcohols,D000438
96,Alfa Interferons,
97,Anti-Infective Agents,D000890
98,Antiviral Agents,D000998
99,Cardiotoxic antineoplastic agents,
100,"Compounds used in a research, industrial, or household setting",D020313
101,Cytochrome P-450 CYP1A2 Inhibitors,D065609
102,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),
103,Cytochrome P-450 Enzyme Inhibitors,D065607
104,Cytokines,D016207
105,Drug Carriers,D004337
106,Ethylene Glycols,D005026
107,Glycols,D006018
108,Hepatotoxic Agents,
109,Interferon alpha,
110,Interferon Type I,D007370
111,Interferons,D007372
112,Macromolecular Substances,D046911
113,Myelosuppressive Agents,
114,Pegylated agents,
115,Polymers,D011108
116,Treatments for Hepatitis C,
117,Agents causing angioedema,
118,Endopeptidases,D010450
119,Fibrinolytic Agents,D005343
120,Ophthalmologicals,
121,Peptide Hydrolases,D010447
122,Plasminogen Activators,D010960
123,Sensory Organs,
124,Serine Endopeptidases,D012697
125,Serine Proteases,D057057
126,Tissue Plasminogen Activator,D010959
127,"Tissue Plasminogen Activator, antagonists & inhibitors",
128,Anterior Pituitary Lobe Hormones and Analogues,
129,Diagnostic Agents,
130,Growth Hormone-Releasing Hormone,D013007
131,Hormones,D006728
132,"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730
