drugbank_id,form,route,strength
DB00001,,Intravenous,20 mg
DB00001,,Intravenous,50 mg
DB00001,"Injection, powder, for suspension",Intravenous,50 mg
DB00001,Powder,Intravenous,
DB00001,Powder,Intravenous,50 mg/1mL
DB00001,"Powder, for solution",Intravenous,50 mg / vial
DB00002,,Intravenous,5 mg/ml
DB00002,Injection,Intravenous,5 MG/ML
DB00002,"Injection, solution",Intravenous,100 mg/20ml
DB00002,"Injection, solution",Intravenous,500 mg/100ml
DB00002,"Injection, solution",Intravenous; Parenteral,5 MG/ML
DB00002,Solution,Intravenous,2 mg/1mL
DB00002,Solution,Intravenous,2 mg / mL
DB00002,Solution,Intravenous,5 mg/1ml
DB00002,Solution,Intravenous,5 mg
DB00002,Solution,Intravenous,5 mg/ml
DB00002,Solution,Intravenous,5.000 mg
DB00003,"Aerosol, spray",Respiratory (inhalation),2.5 mg
DB00003,Solution,Respiratory (inhalation),
DB00003,Solution,Respiratory (inhalation),1 mg/1mL
DB00003,Solution,Respiratory (inhalation),1 mg / mL
DB00003,Solution,Respiratory (inhalation),2.5 mg
DB00003,Solution,Respiratory (inhalation),2.5 mg/2.5ml
DB00003,Solution,Respiratory (inhalation),2500 E./2.5ml
DB00004,"Injection, powder, lyophilized, for solution",Intravenous,300 ug/2mL
DB00004,"Injection, solution",Intravenous,150 ug/1mL
DB00005,,Subcutaneous,10 mg
DB00005,,Subcutaneous,25 mg
DB00005,,Subcutaneous,25.0 mg
DB00005,,Subcutaneous,50 mg
DB00005,Injection,Subcutaneous,
DB00005,Injection,Subcutaneous,25 mg
DB00005,Injection,Subcutaneous,25 mg/0.5ml
DB00005,Injection,Subcutaneous,50 mg
DB00005,Injection,Subcutaneous,50 MG/ML
DB00005,"Injection, powder, for solution",Intramuscular,25 mg/25mg
DB00005,"Injection, powder, for solution",Subcutaneous,10 MG
DB00005,"Injection, powder, for solution",Subcutaneous,25 mg
DB00005,"Injection, powder, for solution",Subcutaneous,25 MG/ML
DB00005,"Injection, powder, for solution",Subcutaneous,50 MG
DB00005,"Injection, powder, lyophilized, for solution",Subcutaneous,25 mg
DB00005,"Injection, powder, lyophilized, for solution",Subcutaneous,50 mg
DB00005,"Injection, powder, lyophilized, for solution; kit",Subcutaneous,25 mg/1mL
DB00005,"Injection, solution",Parenteral,25 MG
DB00005,"Injection, solution",Parenteral,50 mg
DB00005,"Injection, solution",Parenteral; Subcutaneous,25 MG
DB00005,"Injection, solution",Parenteral; Subcutaneous,50 MG
DB00005,"Injection, solution",Subcutaneous,25 MG
DB00005,"Injection, solution",Subcutaneous,25 mg/0.5mL
DB00005,"Injection, solution",Subcutaneous,50 mg/mL
DB00005,"Injection, solution",Subcutaneous,50 MG
DB00005,"Injection, solution",Subcutaneous,50 mg/1mL
DB00005,Kit,Subcutaneous,
DB00005,"Kit; liquid; powder, for solution",Subcutaneous,
DB00005,Powder,,25 mg/1vial
DB00005,Powder,Parenteral,25 MG
DB00005,Powder,Subcutaneous,25 MG
DB00005,Solution,,25 mg/0.5ml
DB00005,Solution,Parenteral,25 mg
DB00005,Solution,Parenteral,25 mg/0.5ml
DB00005,Solution,Parenteral,50 mg
DB00005,Solution,Parenteral,50 mg/ml
DB00005,Solution,Parenteral; Subcutaneous,50 MG
DB00005,Solution,Subcutaneous,25 mg / 0.5 mL
DB00005,Solution,Subcutaneous,25 mg
DB00005,Solution,Subcutaneous,25 mg/0.5mL
DB00005,Solution,Subcutaneous,25.00 mg
DB00005,Solution,Subcutaneous,25.000 mg
DB00005,Solution,Subcutaneous,50 mg / 1 mL
DB00005,Solution,Subcutaneous,50 mg / mL
DB00005,Solution,Subcutaneous,50 mg
DB00005,Solution,Subcutaneous,50 mg/1mL
DB00006,,Intravenous,250 mg
DB00006,Injection,Intracavernous,250 mg/1
DB00006,Injection,Intravenous,250 mg/50mL
DB00006,Injection,Intravenous,250 mg/1
DB00006,Injection,Intravenous,500 mg/100mL
DB00006,"Injection, powder, for solution",Intravenous bolus,250 MG
DB00006,"Injection, powder, lyophilized, for solution",Intravenous,
DB00006,"Injection, powder, lyophilized, for solution",Intravenous,250 mg/1
DB00006,"Injection, powder, lyophilized, for solution",Intravenous,250 mg/5mL
DB00006,"Injection, powder, lyophilized, for solution",Intravenous,250 mg
DB00006,"Injection, powder, lyophilized, for suspension",Intravenous,250 mg/1
DB00006,"Injection, solution",Intravenous,250 mg/1
DB00006,"Injection, solution",Intravenous,5 mg/1mL
DB00006,"Injection, solution, concentrate",Intravenous,250 mg
DB00006,Powder,Intravenous,
DB00006,Powder,Intravenous,250 MG
DB00006,"Powder, for solution",Intravenous,250 mg / vial
DB00006,Solution,Intravenous,5 mg / mL
DB00007,,Subcutaneous,42 mg
DB00007,,Subcutaneous,42 mg / syr
DB00007,Implant,Parenteral,
DB00007,Implant,Parenteral,3.6 MG
DB00007,Implant,Parenteral,5 MG
DB00007,Implant,Subcutaneous,
DB00007,Implant,Subcutaneous,3.6 MG
DB00007,Implant,Subcutaneous,5 MG
DB00007,Injection,Intramuscular,22.5 mg
DB00007,Injection,Intramuscular,3.75 MG
DB00007,Injection,Subcutaneous,30 mg
DB00007,Injection,Subcutaneous,5 mg/ml
DB00007,"Injection, emulsion",Subcutaneous,42 mg/1mL
DB00007,"Injection, emulsion",Subcutaneous,42 mg/0.37g
DB00007,"Injection, powder, for solution",Intramuscular; Subcutaneous,11.25 mg
DB00007,"Injection, powder, for solution",Intramuscular; Subcutaneous,3.75 mg
DB00007,"Injection, powder, for solution",Parenteral,
DB00007,"Injection, powder, for solution",Parenteral,1.88 mg
DB00007,"Injection, powder, for solution",Parenteral,11.25 mg
DB00007,"Injection, powder, for solution",Parenteral,22.5 MG
DB00007,"Injection, powder, for solution",Parenteral,3.75 mg
DB00007,"Injection, powder, for solution",Parenteral,3.75 mg/1.5ml
DB00007,"Injection, powder, for solution",Parenteral,45 MG
DB00007,"Injection, powder, for solution",Parenteral,7.5 MG
DB00007,"Injection, powder, for solution",Subcutaneous,22.5 MG
DB00007,"Injection, powder, for solution",Subcutaneous,30 mg
DB00007,"Injection, powder, for solution",Subcutaneous,45 MG
DB00007,"Injection, powder, for solution",Subcutaneous,7.5 mg
DB00007,"Injection, powder, for solution; injection, solution",Parenteral,3.75 mg
DB00007,"Injection, powder, for suspension",Intramuscular,11.25 mg
DB00007,"Injection, powder, for suspension",Intramuscular,22.5 mg
