drugbank_id,entity_type,name,url,company,generic_flag
DB00001,packager,Bayer Healthcare,http://www.bayerhealthcare.com,,
DB00001,packager,Berlex Labs,http://www.berlex.com,,
DB00001,manufacturer,Bayer healthcare pharmaceuticals inc,,,false
DB00002,packager,Cardinal Health,http://www.cardinal.com,,
DB00002,packager,Catalent Pharma Solutions,http://www.catalent.com,,
DB00002,packager,ImClone Systems Inc.,http://www.imclone.com,,
DB00002,packager,Oso Biopharmaceuticals Manufacturing LLC,,,
DB00002,brand,ERBITUX,,Eli Lilly,
DB00003,packager,Cardinal Health,http://www.cardinal.com,,
DB00003,packager,Catalent Pharma Solutions,http://www.catalent.com,,
DB00003,packager,F Hoffmann-La Roche Ltd.,http://www.roche.com,,
DB00003,packager,Genentech Inc.,http://www.gene.com,,
DB00003,packager,Meda AB,http://www.meda.se,,
DB00003,packager,Medpointe Pharmaceuticals,,,
DB00003,manufacturer,"Genentech, Inc",,,false
DB00003,brand,Viscozyme,,Roche (Chile),
DB00004,packager,Eisai Inc.,http://www.eisai.com,,
DB00004,packager,Hollister-Stier Laboratories LLC,http://www.hollisterstier.com,,
DB00004,packager,Ligand Pharmaceuticals Inc.,http://www.ligand.com,,
DB00005,packager,Amgen Inc.,http://www.amgen.com,,
DB00005,packager,Boehringer Ingelheim Ltd.,http://www.boehringer-ingelheim.com,,
DB00005,packager,DSM Corp.,http://www.dsm.com,,
DB00005,packager,Immunex Corp.,,,
DB00005,packager,Physicians Total Care Inc.,http://www.physicianstotalcare.com,,
DB00005,packager,Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,,
DB00005,manufacturer,Amgen Inc. + Wyeth + Takeda,,,false
DB00005,brand,Davictrel,,,
DB00005,brand,Tunex,,,
DB00006,packager,Ben Venue Laboratories Inc.,http://www.benvenue.com,,
DB00006,packager,Oryx Pharmaceuticals Inc.,,,
DB00006,packager,Sepracor Pharmaceuticals Inc.,http://www.sepracor.com,,
DB00006,packager,The Medicines Co.,http://www.themedicinescompany.com,,
DB00006,manufacturer,The medicines co,,,false
DB00006,brand,Angiox,,,
DB00006,brand,Hirulog,,,
DB00007,packager,Abbott Laboratories Ltd.,http://www.abbott.com,,
DB00007,packager,Cardinal Health,http://www.cardinal.com,,
DB00007,packager,Eon Labs,,,
DB00007,packager,Hospira Inc.,http://www.hospira.com,,
DB00007,packager,Oso Biopharmaceuticals Manufacturing LLC,,,
DB00007,packager,Physicians Total Care Inc.,http://www.physicianstotalcare.com,,
DB00007,packager,Sanofi-Aventis Inc.,http://www.sanofi-aventis.com,,
DB00007,packager,Sun Pharmaceutical Industries Ltd.,http://www.sunpharma.com,,
DB00007,packager,Takeda Pharmaceutical Co. Ltd.,http://www.takeda.com,,
DB00007,packager,Teva Pharmaceutical Industries Ltd.,http://www.tevapharm.com,,
DB00007,packager,Tolmar Inc.,http://www.tolmar.com,,
DB00007,brand,Camcevi,,Foresee Pharmaceuticals,
DB00007,brand,Leuplin,,Takeda,
DB00007,brand,LeuProMaxx,,Baxter/Teva,
DB00007,brand,Memryte,,Curaxis,
DB00007,brand,Prostap 3,,Takeda UK,
DB00007,brand,Prostap SR,,Takeda UK,
DB00007,brand,Viadur,,ALZA Corporation,
DB00008,packager,F Hoffmann La Roche Ltd.,http://www.roche.com,,
DB00008,packager,F Hoffmann-La Roche Ltd.,http://www.roche.com,,
DB00009,packager,Genentech Inc.,http://www.gene.com,,
DB00010,packager,Chengdu Shengnuo Bio Pharmaceutical Co. Ltd.,,,
DB00010,packager,Letco Medical Inc.,http://www.letcomedical.com,,
DB00010,packager,Live Well Drugstore LLC,http://www.livewelldrugstore.com,,
DB00010,manufacturer,Emd serono inc,,,false
DB00010,brand,Geref,,Serono Pharma,
DB00011,brand,Wellferon,,GlaxoSmithKline,
DB00012,packager,Amgen Inc.,http://www.amgen.com,,
DB00012,packager,Physicians Total Care Inc.,http://www.physicianstotalcare.com,,
DB00012,manufacturer,Amgen Inc.,,,false
DB00013,packager,Hospira Inc.,http://www.hospira.com,,
DB00013,packager,ImaRx Therapeutics,http://www.imarx.com,,
DB00013,packager,Microbix Biosystems Inc.,http://www.microbix.com,,
DB00013,manufacturer,Microbix biosystems inc,,,false
DB00013,brand,Abbokinase,,Abbott Laboratories,
DB00014,packager,AstraZeneca Inc.,http://www.astrazeneca.ca,,
DB00014,manufacturer,Astrazeneca uk ltd,,,false
DB00015,packager,EKR Therapeutics Inc.,http://www.ekrtx.com,,
DB00015,packager,Hospira Inc.,http://www.hospira.com,,
DB00015,packager,PDL BioPharma Inc.,http://www.pdl.com,,
DB00016,packager,Amgen Inc.,http://www.amgen.com,,
DB00016,packager,Centocor Ortho Biotech Inc.,http://www.centocororthobiotech.com,,
DB00016,packager,DSM Corp.,http://www.dsm.com,,
DB00016,packager,Janssen-Ortho Inc.,http://www.janssen-ortho.com,,
DB00016,packager,JHP Pharmaceuticals LLC,http://www.jhppharma.com,,
DB00016,packager,Ortho-McNeil-Janssen Pharmaceuticals Inc.,http://www.ortho-mcneil.com,,
DB00016,packager,Physicians Total Care Inc.,http://www.physicianstotalcare.com,,
DB00016,brand,Binocrit,,Sandoz,
DB00016,brand,Epobel,,"Nobel Ilac Pazarlama ve Sanayii Ltd. STI., Turkey",
DB00016,brand,Epocept,,Lupin pharma,
DB00016,brand,Epofit,,Intas pharma,
DB00016,brand,Epogin,,Chugai,
DB00016,brand,Eqralys,,Hemofarm AD,
DB00016,brand,Nanokine,,"Nanogen Pharmaceutical biotechnology, Vietnam)",
DB00017,packager,Apotex Inc.,http://www.apotex.com,,
DB00017,packager,Novartis AG,http://www.novartis.com,,
DB00017,packager,Par Pharmaceuticals,http://www.parpharm.com,,
DB00017,packager,Sandoz,http://www.sandoz.ca,,
DB00017,packager,Upsher Smith Laboratories,http://www.upsher-smith.com,,
DB00017,manufacturer,Sanofi aventis us llc,,,false
DB00017,manufacturer,Astrazeneca lp,,,false
DB00017,manufacturer,Novartis pharmaceuticals corp,,,false
DB00017,manufacturer,Apotex inc,,,false
DB00017,manufacturer,Par pharmaceutical inc,,,false
DB00017,manufacturer,Upsher smith laboratories inc,,,false
DB00017,brand,Calcimar,,,
DB00018,packager,Hemispherx Biopharma Inc.,http://www.hemispherx.net,,
DB00018,brand,Alferon,,,
DB00018,brand,Alferon N,,,
DB00019,packager,Amgen Inc.,http://www.amgen.com,,
DB00019,packager,Physicians Total Care Inc.,http://www.physicianstotalcare.com,,
DB00019,brand,Fulphila,,Biocon Biologics,
DB00019,brand,Neulasta,,Amgen,
DB00019,brand,Neupopeg,,Amgen,
DB00019,brand,Nyvepria,,Pfizer,
DB00019,brand,Udenyca,,,
DB00019,brand,Ziextenzo,,Sandoz,
DB00020,packager,Bayer Healthcare,http://www.bayerhealthcare.com,,
DB00020,packager,Genzyme Inc.,http://www.genzyme.ca,,
DB00020,packager,Hospira Inc.,http://www.hospira.com,,
DB00020,packager,Kramer-Novis,http://www.kramernovis.com,,
DB00020,packager,Physicians Total Care Inc.,http://www.physicianstotalcare.com,,
DB00020,packager,Wyeth Pharmaceuticals,http://www.wyeth.com,,
DB00020,brand,Leucomax,,Novartis,
DB00022,packager,Physicians Total Care Inc.,http://www.physicianstotalcare.com,,
DB00022,packager,Schering Corp.,http://www.schering.de,,
DB00022,packager,Schering-Plough Inc.,http://www.schering-plough.ca,,
DB00022,packager,Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,,
DB00022,brand,PEG-Intron,,Schering Corp,
DB00023,packager,Lundbeck Inc.,http://www.lundbeckinc.com,,
DB00023,packager,Merck & Co.,http://www.merck.com,,
DB00023,packager,Prescript Pharmaceuticals,http://www.prescript.net,,
DB00023,brand,Leucogen,,,
DB00024,packager,Genzyme Inc.,http://www.genzyme.ca,,
DB00024,packager,Organon Pharmaceuticals,http://www.organonshop.com,,
DB00024,manufacturer,Sanofi aventis us llc,,,false
DB00024,manufacturer,Genzyme corp,,,false
DB00025,packager,Baxter International Inc.,http://www.baxter.com,,
DB00025,packager,Bayer Healthcare,http://www.bayerhealthcare.com,,
DB00025,packager,CSL Behring LLC,http://www.cslbehring.com,,
DB00025,packager,GlaxoSmithKline Inc.,http://www.gsk.com,,
DB00025,packager,Grifols SA,http://www.grifols.com,,
DB00025,packager,Ipsen Pharmaceuticals Inc.,http://www.ipsen.com,,
DB00025,packager,Octapharma USA,http://www.octapharma.com,,
DB00025,packager,Talecris Biotherapeutics,http://www.talecris.com,,
DB00025,packager,Wyeth Pharmaceuticals,http://www.wyeth.com,,
DB00025,brand,Bioclate,,,
DB00025,brand,Helixate,,,
DB00025,brand,Hyate:C,,,
DB00025,brand,Koate-HP,,,
DB00025,brand,Kogenate,,,
DB00025,brand,Monarc-M,,,
DB00025,brand,ReFacto,,,
DB00026,packager,Amgen Inc.,http://www.amgen.com,,
DB00026,packager,BioVitrum AB,http://www.biovitrum.com,,
DB00027,packager,Johnson & Johnson Healthcare,http://www.jnjcanada.com,,
DB00027,packager,Monarch Pharmacy,http://www.monarch-pharmacy.co.uk,,
DB00027,packager,Professional Co.,,,
DB00027,brand,Sofradex,,Sanofi,
DB00028,packager,Alpha Therapeutic Corp.,,,
DB00028,packager,American Red Cross,http://www.redcross.org,,
DB00028,packager,Baxter International Inc.,http://www.baxter.com,,
DB00028,packager,Biotest Pharmaceuticals,http://www.biotestpharma.com,,
DB00028,packager,Cangene Corp.,http://www.cangene.com,,
DB00028,packager,CSL Behring LLC,http://www.cslbehring.com,,
DB00028,packager,Grifols SA,http://www.grifols.com,,
