drugbank_id,legacy_id,is_primary
DB00001,DB00001,True
DB00001,BTD00024,False
DB00001,BIOD00024,False
DB00002,DB00002,True
DB00002,BTD00071,False
DB00002,BIOD00071,False
DB00003,DB00003,True
DB00003,BTD00001,False
DB00003,BIOD00001,False
DB00004,DB00004,True
DB00004,BTD00084,False
DB00004,BIOD00084,False
DB00005,DB00005,True
DB00005,BTD00052,False
DB00005,BIOD00052,False
DB00006,DB00006,True
DB00006,BTD00076,False
DB00006,EXPT03302,False
DB00006,BIOD00076,False
DB00006,DB02351,False
DB00007,DB00007,True
DB00007,BTD00009,False
DB00007,BIOD00009,False
DB00008,DB00008,True
DB00008,BTD00043,False
DB00008,BIOD00043,False
DB00009,DB00009,True
DB00009,BTD00050,False
DB00009,BIOD00050,False
DB00010,DB00010,True
DB00010,BTD00033,False
DB00010,BIOD00033,False
DB00011,DB00011,True
DB00011,BTD00096,False
DB00011,BIOD00096,False
DB00011,DB00084,False
DB00012,DB00012,True
DB00012,BTD00032,False
DB00012,BIOD00032,False
DB00013,DB00013,True
DB00013,BTD00030,False
DB00013,BIOD00030,False
DB00014,DB00014,True
DB00014,BTD00113,False
DB00014,BIOD00113,False
DB00015,DB00015,True
DB00015,BTD00013,False
DB00015,BIOD00013,False
DB00016,DB00016,True
DB00016,BTD00103,False
DB00016,BIOD00103,False
DB00016,DB08923,False
DB00017,DB00017,True
DB00017,BTD00025,False
DB00017,BIOD00025,False
DB00018,DB00018,True
DB00018,BTD00023,False
DB00018,BIOD00023,False
DB00019,DB00019,True
DB00019,BTD00094,False
DB00019,BIOD00094,False
DB00020,DB00020,True
DB00020,BTD00035,False
DB00020,BIOD00035,False
DB00022,DB00022,True
DB00022,BTD00048,False
DB00022,BIOD00048,False
DB00022,DB24861,False
DB00023,DB00023,True
DB00023,BTD00011,False
DB00023,BIOD00011,False
DB00024,DB00024,True
DB00024,BTD00020,False
DB00024,BIOD00020,False
DB00025,DB00025,True
DB00025,BTD00029,False
DB00025,BIOD00029,False
DB00025,DB13162,False
DB00025,DBSALT002413,False
DB00026,DB00026,True
DB00026,BTD00060,False
DB00026,BIOD00060,False
DB00027,DB00027,True
DB00027,BTD00036,False
DB00027,BIOD00036,False
DB00028,DB00028,True
DB00028,BTD00091,False
DB00028,BIOD00091,False
DB00029,DB00029,True
DB00029,BTD00102,False
DB00029,BIOD00102,False
DB00030,DB00030,True
DB00030,BTD00105,False
DB00030,BIOD00105,False
DB00030,DB01383,False
DB00030,DB05278,False
DB00030,DB05215,False
DB00030,DB05283,False
DB00030,DB08914,False
DB00030,DB24325,False
DB00031,DB00031,True
DB00031,BTD00019,False
DB00031,BIOD00019,False
DB00032,DB00032,True
DB00032,BTD00018,False
DB00032,BIOD00018,False
DB00033,DB00033,True
DB00033,BTD00017,False
DB00033,BIOD00017,False
DB00034,DB00034,True
DB00034,BTD00095,False
DB00034,BTD00012,False
DB00034,BIOD00095,False
DB00034,BIOD00012,False
DB00034,DB00037,False
DB00035,DB00035,True
DB00035,BTD00112,False
DB00035,BTD00061,False
DB00035,BIOD00112,False
DB00035,BIOD00061,False
DB00036,DB00036,True
DB00036,BTD00006,False
DB00036,BIOD00006,False
DB00038,DB00038,True
DB00038,BTD00021,False
DB00038,BIOD00021,False
DB00039,DB00039,True
DB00039,BTD00042,False
DB00039,BIOD00042,False
DB00040,DB00040,True
DB00040,BTD00057,False
DB00040,BIOD00057,False
DB00041,DB00041,True
DB00041,BTD00082,False
DB00041,BIOD00082,False
DB00042,DB00042,True
DB00042,BTD00070,False
DB00042,BIOD00070,False
DB00043,DB00043,True
DB00043,BTD00081,False
DB00043,BIOD00081,False
DB00044,DB00044,True
DB00044,BTD00056,False
DB00044,BIOD00056,False
DB00045,DB00045,True
DB00045,BTD00054,False
DB00045,BIOD00054,False
DB00046,DB00046,True
DB00046,BTD00065,False
DB00046,BIOD00065,False
DB00046,DB01310,False
DB00047,DB00047,True
DB00047,BTD00045,False
DB00047,BIOD00045,False
DB00047,DB01308,False
DB00048,DB00048,True
DB00048,BTD00010,False
DB00048,BIOD00010,False
DB00048,DB11249,False
DB00049,DB00049,True
DB00049,BTD00090,False
DB00049,BIOD00090,False
DB00050,DB00050,True
DB00050,BTD00115,False
DB00050,APRD00686,False
DB00050,BIOD00115,False
DB00051,DB00051,True
DB00051,BTD00049,False
DB00051,BIOD00049,False
DB00052,DB00052,True
DB00052,BTD00086,False
DB00052,BIOD00086,False
DB00052,DB06417,False
DB00053,DB00053,True
DB00053,BTD00026,False
DB00053,BIOD00026,False
DB00054,DB00054,True
DB00054,BTD00041,False
DB00054,BIOD00041,False
DB00055,DB00055,True
DB00055,BTD00068,False
DB00055,BIOD00068,False
DB00056,DB00056,True
DB00056,BTD00077,False
DB00056,BIOD00077,False
DB00057,DB00057,True
DB00057,BTD00108,False
DB00057,BIOD00108,False
DB00058,DB00058,True
DB00058,BTD00002,False
DB00058,BIOD00002,False
DB00059,DB00059,True
DB00059,BTD00079,False
DB00059,BIOD00079,False
DB00059,DB28230,False
DB00059,DB30306,False
DB00060,DB00060,True
DB00060,BTD00093,False
DB00060,BIOD00093,False
DB00061,DB00061,True
DB00061,BTD00100,False
DB00061,BIOD00100,False
DB00062,DB00062,True
DB00062,BTD00059,False
DB00062,BTD00089,False
DB00062,BTD00101,False
DB00062,BIOD00059,False
DB00062,BIOD00089,False
DB00062,BIOD00101,False
DB00062,DB00096,False
DB00062,DB00064,False
DB00063,DB00063,True
DB00063,BTD00063,False
DB00063,BIOD00063,False
DB00065,DB00065,True
DB00065,BTD00004,False
DB00065,BIOD00004,False
DB00066,DB00066,True
DB00066,BTD00099,False
DB00066,BTD00064,False
DB00066,BIOD00099,False
DB00066,BIOD00064,False
DB00066,DB09024,False
DB00067,DB00067,True
DB00067,BTD00110,False
DB00067,BIOD00110,False
DB00067,DB09392,False
DB00068,DB00068,True
DB00068,BTD00078,False
DB00068,BIOD00078,False
DB00069,DB00069,True
DB00069,BTD00062,False
DB00069,BIOD00062,False
DB00070,DB00070,True
DB00070,BTD00022,False
DB00070,BIOD00022,False
DB00071,DB00071,True
DB00071,BTD00031,False
DB00071,BIOD00031,False
DB00072,DB00072,True
DB00072,BTD00098,False
DB00072,BIOD00098,False
DB00072,DB23048,False
DB00073,DB00073,True
DB00073,BTD00014,False
DB00073,BIOD00014,False
DB00074,DB00074,True
DB00074,BTD00073,False
DB00074,BIOD00073,False
DB00075,DB00075,True
DB00075,BTD00005,False
DB00075,BIOD00005,False
DB00076,DB00076,True
DB00076,BTD00046,False
DB00076,BTD00027,False
DB00076,BIOD00046,False
DB00076,BIOD00027,False
DB00078,DB00078,True
DB00078,BTD00069,False
DB00078,BIOD00069,False
DB00080,DB00080,True
DB00080,BTD00111,False
DB00080,BIOD00111,False
DB00081,DB00081,True
DB00081,BTD00085,False
DB00081,BIOD00085,False
DB00081,DB09557,False
DB00082,DB00082,True
DB00082,BTD00044,False
DB00082,BIOD00044,False
DB00083,DB00083,True
DB00083,BTD00092,False
DB00083,BIOD00092,False
DB00083,DB26621,False
DB00083,DB29051,False
DB00085,DB00085,True
DB00085,BTD00067,False
DB00085,BIOD00067,False
DB00085,DB05356,False
DB00086,DB00086,True
DB00086,BTD00028,False
DB00086,BIOD00028,False
DB00087,DB00087,True
DB00087,BTD00109,False
DB00087,BIOD00109,False
DB00088,DB00088,True
DB00088,BTD00037,False
DB00088,BIOD00037,False
DB00089,DB00089,True
DB00089,BTD00080,False
DB00089,BIOD00080,False
DB00090,DB00090,True
DB00090,BTD00008,False
DB00090,BIOD00008,False
DB00091,DB00091,True
DB00091,BTD00003,False
DB00091,BIOD00003,False
DB00092,DB00092,True
