entity_type,entity_id,resource,identifier
drug,DB00001,Drugs Product Database (DPD),11916
drug,DB00001,PubChem Substance,46507011
drug,DB00001,KEGG Drug,D06880
drug,DB00001,PharmGKB,PA450195
drug,DB00001,UniProtKB,P01050
drug,DB00001,Therapeutic Targets Database,DAP000541
drug,DB00001,Wikipedia,Lepirudin
drug,DB00001,ChEMBL,CHEMBL1201666
drug,DB00001,RxCUI,237057
drug,DB00002,Drugs Product Database (DPD),13175
drug,DB00002,PubChem Substance,46507042
drug,DB00002,KEGG Drug,D03455
drug,DB00002,GenBank,J00228
drug,DB00002,PharmGKB,PA10040
drug,DB00002,Therapeutic Targets Database,DNC000788
drug,DB00002,Wikipedia,Cetuximab
drug,DB00002,ChEMBL,CHEMBL1201577
drug,DB00002,RxCUI,318341
drug,DB00003,Drugs Product Database (DPD),650
drug,DB00003,PubChem Substance,46507792
drug,DB00003,GenBank,M55983
drug,DB00003,PharmGKB,PA10318
drug,DB00003,UniProtKB,P24855
drug,DB00003,Therapeutic Targets Database,DAP000981
drug,DB00003,Wikipedia,Dornase_alfa
drug,DB00003,ChEMBL,CHEMBL1201431
drug,DB00003,RxCUI,337623
drug,DB00004,PubChem Substance,46506950
drug,DB00004,GenBank,V01536
drug,DB00004,PharmGKB,PA164750594
drug,DB00004,UniProtKB,P00587
drug,DB00004,Therapeutic Targets Database,DAP001098
drug,DB00004,Wikipedia,Denileukin_diftitox
drug,DB00004,ChEMBL,CHEMBL1201550
drug,DB00004,RxCUI,214470
drug,DB00005,Drugs Product Database (DPD),12032
drug,DB00005,PubChem Substance,46506732
drug,DB00005,KEGG Compound,C07897
drug,DB00005,KEGG Drug,D00742
drug,DB00005,GenBank,M32315
drug,DB00005,PharmGKB,PA449515
drug,DB00005,UniProtKB,P20333
drug,DB00005,Therapeutic Targets Database,DNC000605
drug,DB00005,Wikipedia,Etanercept
drug,DB00005,ChEMBL,CHEMBL1201572
drug,DB00005,RxCUI,214555
drug,DB00006,Drugs Product Database (DPD),12945
drug,DB00006,ChEBI,59173
drug,DB00006,PubChem Compound,16129704
drug,DB00006,PubChem Substance,46507415
drug,DB00006,KEGG Drug,D03136
drug,DB00006,ChemSpider,10482069
drug,DB00006,BindingDB,50248103
drug,DB00006,PharmGKB,PA10032
drug,DB00006,Therapeutic Targets Database,DAP000542
