interactant_id,polypeptide_id
BE0000048,P00734
BE0000767,P00533
BE0000901,O75015
BE0002094,P02745
BE0002095,P02746
BE0002096,P02747
BE0002097,P08637
BE0000710,P12314
BE0002098,P12318
BE0012829,P24855
BE0000658,P01589
BE0000651,P14784
BE0000704,P01375
BE0001087,P01374
BE0000710,P12314
BE0002098,P12318
BE0002099,P31994
BE0002100,P31995
BE0002097,P08637
BE0000901,O75015
BE0009995,P02745
BE0009995,P02746
BE0009995,P02747
BE0000048,P00734
BE0001075,P05164
BE0000203,P30968
BE0010526,P01148
BE0000385,P48551
BE0000661,P17181
BE0003450,P01563
BE0002433,P05177
BE0000211,P00747
BE0000538,P02671
BE0002092,P02679
BE0000240,P05121
BE0000625,Q02643
BE0000661,P17181
BE0000385,P48551
BE0002433,P05177
BE0000654,P19235
BE0000211,P00747
BE0000717,Q03405
BE0000240,P05121
BE0000969,P05120
BE0000895,P00749
BE0002112,P05154
BE0000942,P98164
BE0001656,Q9Y5Y6
BE0002113,P14543
BE0001198,P39900
BE0000134,P22888
BE0000203,P30968
BE0010526,P01148
BE0000211,P00747
BE0000538,P02671
BE0000240,P05121
BE0000654,P19235
BE0000431,P30988
BE0000661,P17181
BE0000385,P48551
BE0002433,P05177
BE0000793,Q99062
BE0000394,P08246
BE0000628,P15509
BE0001036,P26951
BE0002115,P32927
BE0002116,P34741
BE0000661,P17181
BE0000385,P48551
BE0003450,P01563
BE0002433,P05177
BE0002363,P10635
BE0002793,P11712
BE0000537,P05543
BE0000490,P16473
BE0000216,P00742
BE0000364,P00740
BE0001043,P04275
BE0002117,O14832
BE0002118,P07307
BE0001098,P11021
BE0002109,P27797
BE0001011,P27824
BE0002119,P49257
BE0002110,Q07954
BE0002120,Q8NI22
BE0000048,P00734
BE0000380,P04070
BE0000565,P14778
BE0000803,P0AC13
BE0001032,P08183
BE0000710,P12314
BE0004684,Q92637
BE0002098,P12318
BE0002099,P31994
BE0002100,P31995
BE0002097,P08637
BE0000901,O75015
BE0003455,P01024
BE0004685,P0C0L4
BE0004686,P0C0L5
BE0000855,P01031
BE0000211,P00747
BE0000538,P02671
BE0000240,P05121
BE0000033,P06213
BE0000858,P08069
BE0001123,P16870
BE0001147,P48745
BE0000942,P98164
BE0002126,Q16270
BE0001183,P14735
BE0002124,P16519
BE0002125,P29120
BE0002433,P05177
BE0000211,P00747
BE0000387,P23945
BE0000134,P22888
BE0000711,P15260
BE0000467,P38484
BE0002433,P05177
BE0000661,P17181
BE0000385,P48551
BE0002433,P05177
BE0000293,P30518
BE0000165,P37288
BE0000773,P47901
BE0000844,P30559
BE0000262,P35354
BE0000017,P23219
BE0000216,P00742
BE0001178,P13726
BE0000416,Q14626
BE0000748,P21802
BE0002131,P11362
BE0001031,P98160
BE0000527,P47871
BE0002134,O95838
BE0000857,P43220
BE0000651,P14784
BE0000658,P01589
BE0002102,P31785
BE0001029,P60568
BE0000262,P35354
BE0000657,P47712
BE0002638,P08684
BE0002204,P47989
BE0003533,P05181
BE0002137,P63027
BE0002136,P23763
BE0002138,Q8N9I0
BE0010138,P01854
BE0000049,P30273
BE0000134,P22888
BE0001164,O60603
BE0000033,P06213
BE0000858,P08069
BE0002433,P05177
BE0001183,P14735
BE0000033,P06213
