drugbank_id,number,country,approved_date,expires_date,pediatric_extension
DB00001,5180668,United States,1993-01-19,2010-01-19,false
DB00002,1340417,Canada,1999-03-02,2016-03-02,false
DB00003,2184581,Canada,2005-02-22,2015-02-28,false
DB00003,2137237,Canada,2004-10-26,2013-05-28,false
DB00005,2476934,Canada,2009-06-16,2023-02-27,false
DB00005,2123593,Canada,2000-03-14,2013-09-14,false
DB00005,7276477,United States,2007-10-02,2024-07-29,false
DB00006,5196404,United States,1993-03-23,2010-05-23,false
DB00006,2065150,Canada,1999-12-14,2010-08-17,false
DB00006,7598343,United States,2009-10-06,2029-01-27,true
DB00006,7582727,United States,2009-09-01,2029-01-27,true
DB00006,11903993,United States,2024-02-20,2039-05-20,false
DB00006,11918622,United States,2024-03-05,2039-05-20,false
DB00006,11992514,United States,2024-05-28,2039-05-20,false
DB00006,12472224,United States,2019-05-20,2039-05-20,false
DB00007,6036976,United States,2000-03-14,2016-12-13,false
DB00007,8921326,United States,2014-12-30,2031-02-05,false
DB00007,7429559,United States,2008-09-30,2019-01-13,false
DB00007,8815801,United States,2014-08-26,2022-06-28,false
DB00007,5728396,United States,1998-03-17,2017-01-30,false
DB00007,6156331,United States,2000-12-05,2017-01-30,false
DB00007,6375978,United States,2002-04-23,2018-12-17,false
DB00007,6235712,United States,2001-05-22,2017-06-13,false
DB00007,6113938,United States,2000-09-05,2018-07-24,false
DB00007,6124261,United States,2000-09-26,2017-06-13,false
DB00007,6395292,United States,2002-05-28,2017-01-30,false
DB00007,6132420,United States,2000-10-17,2017-01-30,false
DB00007,5985305,United States,1999-11-16,2017-01-30,false
DB00007,5932547,United States,1999-08-03,2017-06-13,false
DB00007,6565874,United States,2003-05-20,2018-10-28,false
DB00007,6773714,United States,2004-08-10,2018-10-28,false
DB00007,6626870,United States,2003-09-30,2020-03-27,false
DB00007,9283282,United States,2016-03-15,2018-10-28,false
DB00007,9254307,United States,2016-02-09,2018-10-28,false
DB00007,8486455,United States,2013-07-16,2018-10-28,false
DB00007,8840916,United States,2014-09-23,2020-11-13,false
DB00007,8470359,United States,2013-06-25,2023-10-15,false
DB00007,9539333,United States,2017-01-10,2020-11-13,false
DB00007,9914802,United States,2018-03-13,2020-11-13,false
DB00007,10646572,United States,2020-05-12,2027-01-16,false
DB00007,9572857,United States,2017-02-21,2027-01-16,false
DB00007,9744207,United States,2017-08-29,2027-01-16,false
DB00007,9789064,United States,2017-10-17,2020-12-15,false
DB00007,9617303,United States,2017-04-11,2028-03-22,false
DB00007,11717555,United States,2023-08-08,2039-01-01,false
DB00007,11771841,United States,2023-10-03,2041-12-22,false
DB00007,11931559,United States,2024-03-19,2041-12-22,false
DB00007,12133878,United States,2024-11-05,2037-12-18,false
DB00007,12397120,United States,2021-12-22,2041-12-22,false
DB00008,2172664,Canada,2000-10-03,2016-03-26,false
DB00008,2203480,Canada,2009-06-30,2017-04-23,false
DB00012,2165694,Canada,2003-03-18,2010-10-15,false
DB00012,2147124,Canada,2002-11-05,2014-08-16,false
DB00014,7118552,United States,2006-10-10,2022-04-13,false
DB00014,7220247,United States,2007-05-22,2022-04-09,false
DB00014,7500964,United States,2009-03-10,2021-02-26,false
DB00015,2107476,Canada,2007-12-18,2012-04-15,false
DB00016,1339047,Canada,1997-05-27,2014-05-27,false
DB00017,5733569,United States,1998-03-31,2015-03-31,false
DB00017,6440392,United States,2002-08-27,2021-02-02,false
DB00017,RE43580,United States,2012-08-14,2021-02-02,false
DB00017,RE40812,United States,2009-06-30,2021-02-02,false
DB00019,1341537,Canada,2007-07-31,2024-07-31,false
DB00019,1339071,Canada,1997-07-29,2014-07-29,false
DB00020,1341150,Canada,2000-12-05,2017-12-05,false
DB00022,1341567,Canada,2008-02-19,2025-02-19,false
DB00022,2329474,Canada,2002-02-26,2016-10-31,false
DB00024,5840566,United States,1998-11-24,2015-11-24,false
DB00025,2124690,Canada,2007-09-11,2013-10-01,false
DB00025,1339477,Canada,1997-09-23,2014-09-23,false
DB00026,2141953,Canada,2008-04-08,2013-09-17,false
DB00026,1341322,Canada,2001-11-27,2018-11-27,false
DB00030,RE37872,United States,2002-10-08,2010-02-12,false
DB00030,2183577,Canada,2007-10-30,2015-02-07,false
DB00030,2253393,Canada,2007-10-09,2017-05-07,false
DB00030,7291132,United States,2007-11-06,2024-08-09,false
DB00030,6257233,United States,2001-07-10,2019-05-14,false
DB00030,6546929,United States,2003-04-15,2019-05-14,false
DB00030,6685967,United States,2004-02-03,2018-09-11,false
DB00030,6582728,United States,2003-06-24,2020-06-24,false
DB00030,8912193,United States,2014-12-16,2029-06-12,false
DB00030,7648960,United States,2010-01-19,2020-06-29,false
DB00030,6652885,United States,2003-11-25,2020-06-29,false
DB00030,8258095,United States,2012-09-04,2029-08-11,false
DB00030,8778403,United States,2014-07-15,2030-06-11,false
DB00030,6444226,United States,2002-09-03,2020-06-29,false
DB00030,7943572,United States,2011-05-17,2026-08-10,false
DB00030,8119593,United States,2012-02-21,2029-08-11,false
DB00030,7943178,United States,2011-05-17,2020-06-29,false
DB00030,8889099,United States,2014-11-18,2020-06-29,false
DB00030,8623817,United States,2014-01-07,2029-09-18,false
DB00030,8389470,United States,2013-03-05,2020-06-29,false
DB00030,9192675,United States,2015-11-24,2029-06-12,false
DB00030,8215300,United States,2012-07-10,2022-11-24,false
DB00030,8146588,United States,2012-04-03,2023-04-24,false
DB00030,8950397,United States,2015-02-10,2021-07-20,false
DB00030,8485180,United States,2013-07-16,2030-03-25,false
DB00030,9283193,United States,2016-03-15,2026-09-14,false
DB00030,8636001,United States,2014-01-28,2032-07-12,false
DB00030,8424518,United States,2013-04-23,2031-10-17,false
DB00030,8551528,United States,2013-10-08,2030-06-11,false
DB00030,7464706,United States,2008-12-16,2023-03-02,false
DB00030,8729019,United States,2014-05-20,2028-12-26,false
DB00030,7305986,United States,2007-12-11,2023-01-16,false
DB00030,8499757,United States,2013-08-06,2032-02-19,false
DB00030,8156936,United States,2012-04-17,2023-01-16,false
DB00030,8734845,United States,2014-05-27,2030-06-11,false
DB00030,8227409,United States,2012-07-24,2031-03-08,false
DB00030,9393372,United States,2016-07-19,2029-07-04,false
DB00030,9339615,United States,2016-05-17,2029-10-20,false
DB00030,9511198,United States,2016-12-06,2030-02-16,false
DB00030,9597374,United States,2017-03-21,2031-10-08,false
DB00030,9358352,United States,2016-06-07,2031-02-15,false
DB00030,9446133,United States,2016-09-20,2029-06-12,false
DB00030,9662461,United States,2017-05-30,2029-06-12,false
DB00030,9717689,United States,2017-08-01,2026-09-14,false
DB00030,9943571,United States,2018-04-17,2029-08-11,false
DB00030,10046031,United States,2018-08-14,2029-08-11,false
DB00030,10201672,United States,2019-02-12,2030-08-02,false
DB00030,10342938,United States,2019-07-09,2029-06-12,false
DB00030,10500159,United States,2019-12-10,2030-11-02,false
DB00031,2129660,Canada,2005-06-28,2013-05-28,false
DB00031,1341432,Canada,2003-06-17,2020-06-17,false
DB00033,6936695,United States,2005-08-30,2022-08-30,false
DB00033,6936694,United States,2005-08-30,2022-08-30,false
DB00034,2172664,Canada,2000-10-03,2016-03-26,false
DB00035,7022340,United States,2006-04-04,2023-04-30,false
DB00035,5500413,United States,1996-03-19,2013-06-29,false
DB00035,2484724,Canada,2007-01-16,2023-05-07,false
DB00035,2486833,Canada,2005-08-02,2024-04-30,false
DB00035,9539302,United States,2017-01-10,2030-06-15,false
DB00035,7799761,United States,2010-09-21,2024-09-26,false
DB00035,7405203,United States,2008-07-29,2023-05-06,false
DB00035,7579321,United States,2009-08-25,2023-05-06,false
DB00035,9919025,United States,2018-03-20,2023-05-07,false
DB00035,9220747,United States,2015-12-29,2023-05-07,false
DB00035,9504647,United States,2016-11-29,2023-05-07,false
DB00035,9974826,United States,2018-05-22,2030-04-13,false
DB00035,8802624,United States,2014-08-12,2023-12-29,false
DB00035,7560429,United States,2009-07-14,2024-02-02,false
DB00035,7947654,United States,2011-05-24,2023-12-29,false
DB00035,10137167,United States,2018-11-27,2029-05-21,false
DB00035,10307459,United States,2019-06-04,2023-05-07,false
DB00035,11020448,United States,2021-06-01,2029-05-21,false
DB00035,11419914,United States,2022-08-23,2030-06-15,false
DB00035,11963995,United States,2024-04-23,2029-05-21,false
DB00035,12090190,United States,2024-09-17,2030-06-15,false
DB00040,10213487,United States,2019-02-26,2036-02-16,false
DB00040,6938798,United States,2005-09-06,2022-01-03,false
DB00040,9649364,United States,2017-05-16,2036-04-22,false
DB00040,10765602,United States,2020-09-08,2039-09-23,false
DB00040,10894133,United States,2021-01-19,2038-01-03,false
DB00040,11590205,United States,2023-02-28,2036-04-22,false
DB00040,12370241,United States,2016-02-16,2036-02-16,false
DB00043,2113813,Canada,2005-04-12,2012-08-14,false
DB00043,1340233,Canada,1998-12-15,2015-12-15,false
DB00044,5767251,United States,1998-06-16,2015-06-16,false
DB00046,5474978,United States,1995-12-12,2014-06-16,false
DB00046,5514646,United States,1996-05-07,2013-05-07,false
DB00046,2151564,Canada,2003-02-11,2015-06-12,false
DB00046,2151560,Canada,2000-05-09,2015-06-12,false
DB00046,9011391,United States,2015-04-21,2024-03-26,false
DB00046,7291132,United States,2007-11-06,2024-08-09,false
DB00046,9233211,United States,2016-01-12,2024-03-02,false
DB00046,8603044,United States,2013-12-10,2024-03-02,false
DB00046,8512297,United States,2013-08-20,2024-09-15,false
DB00046,8679069,United States,2014-03-25,2025-04-12,false
DB00046,8992486,United States,2015-03-31,2024-06-05,false
DB00046,8556864,United States,2013-10-15,2024-03-03,false
DB00046,7918833,United States,2011-04-05,2028-03-23,true
DB00046,6551992,United States,2003-04-22,2018-06-11,false
DB00046,6034054,United States,2000-03-07,2018-06-11,false
DB00046,9561331,United States,2017-02-07,2024-08-28,false
DB00046,9623189,United States,2017-04-18,2024-08-19,false
DB00046,9610409,United States,2017-04-04,2024-03-02,false
DB00046,9526844,United States,2016-12-27,2024-03-02,false
DB00046,9604008,United States,2017-03-28,2024-03-02,false
DB00046,9533105,United States,2017-01-03,2024-08-17,false
DB00046,9408979,United States,2016-08-09,2024-03-02,false
DB00046,9604009,United States,2017-03-28,2024-08-16,false
DB00046,9775954,United States,2017-10-03,2024-03-02,false
DB00046,9827379,United States,2017-11-28,2024-03-02,false
DB00046,9717852,United States,2017-08-01,2033-04-08,false
DB00047,6100376,United States,2000-08-08,2009-11-06,false
DB00047,1339044,Canada,1997-04-01,2014-04-01,false
DB00047,9011391,United States,2015-04-21,2024-03-26,false
DB00047,9233211,United States,2016-01-12,2024-03-02,false
DB00047,8603044,United States,2013-12-10,2024-03-02,false
DB00047,8512297,United States,2013-08-20,2024-09-15,false
DB00047,8679069,United States,2014-03-25,2025-04-12,false
DB00047,8992486,United States,2015-03-31,2024-06-05,false
DB00047,8556864,United States,2013-10-15,2024-03-03,false
DB00047,7918833,United States,2011-04-05,2028-03-23,true
DB00047,7713930,United States,2010-05-11,2023-12-13,true
DB00047,7476652,United States,2009-01-13,2024-01-23,true
DB00047,9561331,United States,2017-02-07,2024-08-28,false
DB00047,9623189,United States,2017-04-18,2024-08-19,false
DB00047,9610409,United States,2017-04-04,2024-03-02,false
DB00047,9526844,United States,2016-12-27,2024-03-02,false
DB00047,9604008,United States,2017-03-28,2024-03-02,false
DB00047,9533105,United States,2017-01-03,2024-08-17,false
DB00047,9408979,United States,2016-08-09,2024-03-02,false
DB00047,9604009,United States,2017-03-28,2024-08-16,false
DB00047,RE45313,United States,2014-12-30,2020-07-12,false
DB00047,9526764,United States,2016-12-27,2029-10-09,false
DB00047,9345750,United States,2016-05-24,2031-05-18,false
DB00047,9707176,United States,2017-07-18,2030-11-11,false
DB00047,9775954,United States,2017-10-03,2024-03-02,false
DB00047,9827379,United States,2017-11-28,2024-03-02,false
DB00047,9821032,United States,2017-11-21,2032-05-09,false
DB00047,9950039,United States,2018-04-24,2035-12-10,false
DB00047,9717852,United States,2017-08-01,2033-04-08,false
DB00047,10029011,United States,2018-07-24,2032-08-02,false
DB00047,10117909,United States,2018-11-06,2029-10-09,false
DB00047,10369291,United States,2019-08-06,2035-09-16,false
DB00049,2175971,Canada,2003-12-30,2016-05-07,false
DB00049,2148537,Canada,2002-07-16,2015-05-03,false
DB00050,5198533,United States,1993-03-30,2010-10-24,false
DB00050,2115943,Canada,2003-08-05,2014-02-18,false
DB00050,6319192,United States,2001-11-20,2019-04-23,false
DB00051,2243459,Canada,2002-09-17,2017-02-10,false
DB00052,5288703,United States,1994-02-22,2011-10-07,false
DB00052,2252535,Canada,2009-06-23,2017-04-24,false
DB00052,1326439,Canada,1994-01-25,2011-01-25,false
DB00052,6152897,United States,2000-11-28,2018-11-20,false
DB00052,5898030,United States,1999-04-27,2016-04-27,false
DB00052,8672898,United States,2014-03-18,2022-07-02,true
DB00052,8684969,United States,2014-04-01,2026-04-20,true
DB00052,9132239,United States,2015-09-15,2032-08-01,true
DB00052,8920383,United States,2014-12-30,2027-01-17,true
DB00052,7686786,United States,2010-03-30,2026-08-03,false
DB00052,6899699,United States,2005-05-31,2022-07-01,true
DB00052,9108002,United States,2015-08-18,2026-07-26,true
DB00052,RE41956,United States,2010-11-23,2021-07-21,true
DB00052,6004297,United States,1999-12-21,2019-07-28,true
DB00052,RE43834,United States,2012-11-27,2019-01-28,false
DB00052,5849700,United States,1998-12-15,2015-12-15,false
DB00052,5849704,United States,1998-12-15,2015-12-15,false
DB00052,8841252,United States,2014-09-23,2017-12-26,false
DB00052,6235004,United States,2001-05-22,2019-01-28,false
DB00052,9486588,United States,2016-11-08,2022-07-02,true
DB00052,9457154,United States,2016-10-04,2028-03-27,true
DB00052,RE46363,United States,2017-04-11,2027-02-03,true
DB00052,9687611,United States,2017-06-27,2027-08-27,true
DB00052,9775953,United States,2017-10-03,2027-01-17,true
DB00052,8579869,United States,2013-11-12,2023-12-30,true
DB00052,7762994,United States,2010-07-27,2024-11-23,true
DB00052,9861757,United States,2018-01-09,2026-07-20,true
DB00052,9616180,United States,2017-04-11,2026-07-20,true
DB00052,10220155,United States,2019-03-05,2027-01-17,true
DB00052,10357616,United States,2019-07-23,2026-01-20,false
DB00052,10376652,United States,2019-08-13,2026-01-20,false
DB00053,5549892,United States,1996-08-27,2013-08-27,false
DB00054,1341357,Canada,2002-05-07,2019-05-07,false
DB00055,2139468,Canada,2007-08-21,2015-01-03,false
DB00055,2036894,Canada,2002-01-15,2011-02-22,false
DB00056,5773001,United States,1998-06-30,2015-06-30,false
DB00056,5585089,United States,1996-12-17,2013-12-17,false
DB00060,1341604,Canada,2010-05-04,2027-05-04,false
DB00062,5558094,United States,1996-09-24,2012-02-28,false
DB00062,6723303,United States,2004-04-20,2021-04-20,false
DB00062,11419842,United States,2022-08-23,2036-05-16,false
DB00062,12090134,United States,2024-09-17,2036-05-16,false
DB00062,12090135,United States,2024-09-17,2036-05-16,false
DB00063,5686570,United States,1997-11-11,2014-11-11,false
DB00063,2133205,Canada,2007-04-17,2013-04-27,false
DB00063,5807825,United States,1998-09-15,2015-09-15,false
DB00065,2106299,Canada,2001-02-06,2012-03-18,false
DB00066,5270057,United States,1993-12-14,2011-03-20,false
DB00066,2037884,Canada,2003-10-21,2011-03-08,false
DB00066,7563763,United States,2009-07-21,2019-08-23,false
DB00066,5929028,United States,1999-07-27,2018-01-14,false
DB00066,7446090,United States,2008-11-04,2019-08-23,false
DB00066,7741268,United States,2010-06-22,2024-04-02,false
DB00067,9687526,United States,2017-06-27,2035-01-30,false
DB00067,9375478,United States,2016-06-28,2035-01-30,false
DB00067,9744209,United States,2017-08-29,2035-01-30,false
DB00067,9744239,United States,2017-08-29,2035-01-30,false
DB00067,9750785,United States,2017-09-05,2035-01-30,false
DB00067,9937223,United States,2018-04-10,2035-01-30,false
DB00067,10010575,United States,2018-07-03,2035-01-30,false
DB00067,9925233,United States,2018-03-27,2035-01-30,false
DB00067,9974827,United States,2018-05-22,2035-01-30,false
DB00067,9968649,United States,2018-05-15,2035-01-30,false
DB00067,9962422,United States,2018-05-08,2035-01-30,false
DB00067,9925234,United States,2018-03-27,2035-01-30,false
DB00067,9981006,United States,2018-05-29,2035-01-30,false
DB00067,9919026,United States,2018-03-20,2035-01-30,false
DB00067,12186362,United States,2015-01-30,2035-01-30,false
DB00067,12447190,United States,2024-09-27,2044-09-27,false
DB00068,1340861,Canada,1999-12-28,2016-12-28,false
DB00068,1339707,Canada,1998-03-10,2015-03-10,false
DB00072,2103059,Canada,2005-03-22,2012-06-15,false
DB00073,2149329,Canada,2008-07-15,2013-11-12,false
DB00073,1336826,Canada,1995-08-29,2012-08-29,false
DB00073,5736137,United States,1998-04-07,2015-04-07,false
DB00074,2038279,Canada,1999-03-09,2011-03-11,false
