drugbank_id,description,cost,currency,unit
DB00001,Refludan 50 mg vial,273.19,USD,vial
DB00003,Lufyllin 200 mg tablet,3.21,USD,tablet
DB00003,Lufyllin-gg tablet,3.84,USD,tablet
DB00003,Lufyllin-GG 200-200 mg tablet,3.99,USD,tablet
DB00003,Lufyllin-400 tablet,4.62,USD,tablet
DB00003,Lufyllin 400 mg tablet,4.81,USD,tablet
DB00003,Pulmozyme 1 mg/ml ampul,37.05,USD,ml
DB00003,Pulmozyme 1 mg/ml Solution 2.5ml Plastic Container,77.06,USD,plastic
DB00003,Lufyllin-GG 100-100 mg/15ml Elixir,0.6,USD,ml
DB00004,Ontak 150 mcg/ml vial,878.4,USD,ml
DB00005,Enbrel 25 mg kit,250.37,USD,each
DB00005,Enbrel 50 mg/ml sureclick syr,488.74,USD,syringe
DB00005,Enbrel 4 25 mg Kit (1 Box = 1 Kit = Four 25 mg Vials),1016.57,USD,box
DB00005,Enbrel (1 Box = 1 Kit = Four 50 mg Syringes) 3.92ml Box,2033.14,USD,box
DB00005,Enbrel SureClick (1 Box Contains Four 50 mg Prefilled Autoinjectors),2033.14,USD,box
DB00006,Angiomax 250 mg vial,780.0,USD,vial
DB00007,Leuprolide 2wk 1 mg/0.2 ml kit,385.33,USD,kit
DB00007,Leuprolide Acetate 1 mg/0.2ml Kit 2.8ml 2-Week Kit,400.74,USD,box
DB00007,Eligard 7.5 mg syringe,493.2,USD,syringe
DB00007,Lupron 2-wk 1 mg/0.2 ml kit,594.37,USD,kit
DB00007,Eligard 22.5 mg syringe,1479.6,USD,syringe
DB00007,Eligard 30 mg syringe,1972.8,USD,syringe
DB00007,Eligard 45 mg syringe,2959.2,USD,syringe
DB00008,Pegasys 180 mcg/ml vial,642.64,USD,ml
DB00008,Pegasys 180 mcg/0.5 ml conv.pk,2533.2,USD,each
DB00008,Pegasys (1 Kit = Four 180 mcg/ml Vials Prefilled Syringes) Box,2634.53,USD,box
DB00009,Cathflo activase 2 mg vial,106.33,USD,vial
DB00009,Activase 50 mg vial,2389.85,USD,vial
DB00009,Activase 100 mg vial,4779.71,USD,vial
DB00012,Aranesp 25 mcg/ml vial,156.36,USD,ml
DB00012,Aranesp (Albumin Free) 25 mcg/ml vial,162.61,USD,vial
DB00012,Aranesp 40 mcg/ml vial,250.2,USD,ml
DB00012,Aranesp 60 mcg/ml vial,375.3,USD,ml
DB00012,Aranesp (Albumin Free) 60 mcg/ml vial,390.31,USD,vial
DB00012,Aranesp 100 mcg/ml vial,625.44,USD,ml
DB00012,Aranesp 200 mcg/ml vial,1250.88,USD,ml
DB00012,Aranesp 300 mcg/ml vial,1876.32,USD,ml
DB00012,Aranesp (Albumin Free) 300 mcg/ml vial,1951.37,USD,vial
DB00012,Aranesp (Albumin Free) 100 mcg/0.5ml Solution (1 Box = Four 0.5ml Syringes),2601.83,USD,box
DB00012,Aranesp (Albumin Free) 100 mcg/ml Solution Four 1ml Vials Per Box,2601.83,USD,box
DB00012,Aranesp (Albumin Free) 150 mcg/0.75ml Solution (1 Box = Four 0.75ml Vials),3902.75,USD,box
DB00014,Zoladex 3.6 mg implant syringe,451.19,USD,syringe
DB00014,Zoladex 10.8 mg implant syringe,1380.65,USD,syringe
DB00015,Retavase vial half-kit,2605.93,USD,vial
DB00016,Epogen 2000 unit/ml vial,34.14,USD,vial
DB00016,Procrit 2000 unit/ml vial,37.09,USD,vial
DB00016,Epogen 3000 unit/ml vial,47.53,USD,vial
DB00016,Procrit 3000 unit/ml vial,55.63,USD,vial
DB00016,Epogen 4000 unit/ml vial,61.34,USD,vial
DB00016,Procrit 4000 unit/ml vial,74.17,USD,vial
DB00016,Epogen 10000 unit/ml vial,151.8,USD,ml
DB00016,Epogen 20000 unit/ml vial,303.6,USD,ml
DB00016,Epogen 10000 unit/ml Solution 2ml Vial,315.74,USD,vial
DB00016,Procrit 10000 unit/ml Solution 2ml Vial,358.02,USD,vial
DB00016,Procrit 20000 unit/ml Solution,378.14,USD,ml
DB00016,Procrit 20000 unit/ml vial,388.97,USD,ml
