reaction_id,drugbank_id,sequence,left_element_id,left_element_name,right_element_id,right_element_name,enzymes
1,DB00001,1,DB00001,Lepirudin,DBMET03462,M1 (1-64),
2,DB00001,2,DBMET03462,M1 (1-64),DBMET03463,M2 (1-63),
3,DB00001,3,DBMET03463,M2 (1-63),DBMET03464,M3 (1-62),
4,DB00001,4,DBMET03464,M3 (1-62),DBMET03465,M4 (1-61),
5,DB00047,1,DB00047,Insulin glargine,DBMET00786,A21-Gly-des-B30-Thr-insulin,
6,DB00047,1,DB00047,Insulin glargine,DBMET00787,A21-Gly-insulin,
7,DB00091,1,DB00091,Cyclosporine,DBMET02955,Cyclosporine AM-4N,BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
8,DB00091,1,DB00091,Cyclosporine,DBMET02217,Cyclosporine M-1 (AM-9),BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
9,DB00091,1,DB00091,Cyclosporine,DBMET00359,Cyclosporine M-17 (AM-1),BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
10,DB00115,1,DB00115,Cyanocobalamin,DB03614,Mecobalamin,
11,DB00118,1,DB00118,Ademetionine,DBMET00486,Cystathionine,
12,DB00118,1,DB00118,Ademetionine,DBMET00503,Cysteine,
13,DB00118,1,DB00118,Ademetionine,DBMET00506,Methionine,
14,DB00118,1,DB00118,Ademetionine,DBMET00508,Homocysteine,
15,DB00118,1,DB00118,Ademetionine,DBMET00514,S-Adenosylhomocysteine,
16,DB00121,1,DB00121,Biotin,DBMET03072,Biotin Holocarboxylase Metabolite,
17,DB00121,2,DBMET03072,Biotin Holocarboxylase Metabolite,DBMET03073,Biocytin,
18,DB00121,3,DBMET03073,Biocytin,DB00121,Biotin,
19,DB00126,1,DB00126,Ascorbic acid,DBMET00799,ascorbic acid-2-sulfate,
20,DB00126,1,DB00126,Ascorbic acid,DBMET03074,Dehydroascorbate,
21,DB00126,2,DBMET03074,Dehydroascorbate,DBMET03075,"2,3-dikeogulonic acid",
22,DB00126,3,DBMET03075,"2,3-dikeogulonic acid",DBMET00552,Oxalic acid,
23,DB00126,3,DBMET03075,"2,3-dikeogulonic acid",DBMET03076,Threosone,
24,DB00126,3,DBMET03075,"2,3-dikeogulonic acid",DBMET03077,Erythrulose,
25,DB00129,1,DB00129,Ornithine,DBMET00494,Proline,
26,DB00129,1,DB00129,Ornithine,DBMET00502,L-Arginine,
27,DB00130,1,DB00130,L-Glutamine,DBMET02102,Glutamate,"BE0002240|Glutamine synthetase|P15104||BE0000003|Glutaminase liver isoform, mitochondrial|Q9UI32||BE0000825|Glutaminase kidney isoform, mitochondrial|O94925"
28,DB00130,2,DBMET02102,Glutamate,DBMET03078,α-ketoglutarate,
29,DB00130,2,DBMET02102,Glutamate,DBMET03079,1-pyrroline-5-carboxylic acid,
30,DB00130,3,DBMET03079,1-pyrroline-5-carboxylic acid,DBMET00494,Proline,
31,DB00130,3,DBMET03079,1-pyrroline-5-carboxylic acid,DB00129,Ornithine,
32,DB00136,1,DB00136,Calcitriol,DBMET00575,Calcitroic acid,
33,DB00145,1,DB00145,Glycine,DB01828,Methylamine,"BE0000618|Glycine dehydrogenase (decarboxylating), mitochondrial|P23378||BE0002302|Glycine cleavage system H protein, mitochondrial|P23434"
34,DB00145,2,DB01828,Methylamine,DBMET03082,Dihydrolipoamide,"BE0000010|Aminomethyltransferase, mitochondrial|P48728||BE0002302|Glycine cleavage system H protein, mitochondrial|P23434"
35,DB00145,3,DBMET03082,Dihydrolipoamide,DB00166,Lipoic acid,"BE0000737|Dihydrolipoyl dehydrogenase, mitochondrial|P09622||BE0002302|Glycine cleavage system H protein, mitochondrial|P23434"
36,DB00153,1,DB00153,Ergocalciferol,DBMET02434,25-hydroxyvitamin D,BE0000524|Vitamin D 25-hydroxylase|Q6VVX0
37,DB00153,1,DB00153,Ergocalciferol,DBMET02436,"24(R),25dihydroxyvitamin D","BE0000443|25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial|O15528||BE0002250|1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial|Q07973"
38,DB00153,1,DB00153,Ergocalciferol,DBMET02437,beta-ergocalciferol,BE0009671|Ribulose-phosphate 3-epimerase|Q96AT9
39,DB00153,1,DB00153,Ergocalciferol,DBMET02438,20-hydroxyvitamin D,"BE0003537|Cholesterol side-chain cleavage enzyme, mitochondrial|P05108"
40,DB00153,2,DBMET02434,25-hydroxyvitamin D,DBMET02435,Calcitrol,"BE0000443|25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial|O15528||BE0002250|1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial|Q07973"
41,DB00158,1,DB00158,Folic acid,DBMET02314,Dihydrofolate (DHF),BE0000330|Dihydrofolate reductase|P00374
42,DB00158,1,DB00158,Folic acid,DB00116,Tetrahydrofolic acid,BE0000330|Dihydrofolate reductase|P00374
43,DB00158,2,DB00116,Tetrahydrofolic acid,DBMET02316,"5,10-methylene tetrahydrofolate (THF)","BE0000268|Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial|P13995"
44,DB00158,3,DBMET02316,"5,10-methylene tetrahydrofolate (THF)",DBMET00528,5-Methyltetrahydrofolate,BE0002176|Methylenetetrahydrofolate reductase (NADPH)|P42898
45,DB00158,4,DBMET00528,5-Methyltetrahydrofolate,DBMET00506,Methionine,BE0000734|Methionine synthase|Q99707
46,DB00162,1,DB00162,Vitamin A,DBMET01736,All-trans-retinal,BE0003543|Cytochrome P450 1A1|P04798||BE0002433|Cytochrome P450 1A2|P05177||BE0002638|Cytochrome P450 3A4|P08684||BE0001111|Cytochrome P450 1B1|Q16678
47,DB00163,1,DB00163,Vitamin E,DBMET02310,13'-hydroxy-alpha-tocopherol,BE0002638|Cytochrome P450 3A4|P08684||BE0004727|Cytochrome P450 4F2|P78329
48,DB00163,2,DBMET02310,13'-hydroxy-alpha-tocopherol,DBMET02311,13'-carboxy-alpha-tocopherol,
49,DB00163,3,DBMET02311,13'-carboxy-alpha-tocopherol,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,
50,DB00163,4,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,
51,DB00163,5,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol,
52,DB00163,6,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol,DBMET02323,alpha-caboxymethylbutylhydroxychromanol,
53,DB00163,7,DBMET02323,alpha-caboxymethylbutylhydroxychromanol,DBMET02324,alpha-carboxyethylhydroxychromanol,
54,DB00169,1,DB00169,Cholecalciferol,DBMET00609,"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)",
55,DB00169,1,DB00169,Cholecalciferol,DB00146,Calcifediol,BE0000524|Vitamin D 25-hydroxylase|Q6VVX0
56,DB00169,2,DB00146,Calcifediol,DB00136,Calcitriol,"BE0000443|25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial|O15528"
57,DB00175,1,DB00175,Pravastatin,DBMET02469,3-alpha-isopravastatin,
58,DB00175,1,DB00175,Pravastatin,DBMET02472,6-epi-pravastatin,
59,DB00175,1,DB00175,Pravastatin,DBMET02473,Triol pravastatin,
60,DB00175,1,DB00175,Pravastatin,DBMET02475,pravastatin glucuronide,
61,DB00175,1,DB00175,Pravastatin,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,
62,DB00175,1,DB00175,Pravastatin,DBMET02478,3'(S)-hydroxy-pravastatin,
63,DB00175,1,DB00175,Pravastatin,DBMET02479,Desacylpravastatin,
64,DB00175,2,DBMET02469,3-alpha-isopravastatin,DBMET02470,"5,6-epoxy-3-alpha-isopravastatin",
