ref_pk,drugbank_id,interactant_id
1,DB00001,
2,DB00001,
3,DB00001,
4,DB00001,
5,DB00001,
6,DB00001,
7,DB00001,
8,DB00001,
9,DB00001,
10,DB00001,
11,DB00001,BE0000048
12,DB00001,BE0000048
13,DB00001,BE0000048
14,DB00001,BE0000048
15,DB00001,BE0000048
16,DB00001,BE0000048
7,DB00001,BE0000048
17,DB00002,
18,DB00002,
19,DB00002,
20,DB00002,
21,DB00002,
22,DB00002,
23,DB00002,
24,DB00002,
25,DB00002,
26,DB00002,
27,DB00002,
28,DB00002,
29,DB00002,
17,DB00002,BE0000767
20,DB00002,BE0000767
18,DB00002,BE0000901
30,DB00002,BE0002094
30,DB00002,BE0002095
30,DB00002,BE0002096
31,DB00002,BE0002097
32,DB00002,BE0000710
31,DB00002,BE0002098
33,DB00003,
34,DB00003,
35,DB00003,
36,DB00003,
36,DB00003,BE0012829
37,DB00004,
38,DB00004,
39,DB00004,
40,DB00004,
41,DB00004,
42,DB00004,
43,DB00004,
44,DB00004,BE0000658
45,DB00004,BE0000658
46,DB00004,BE0000658
37,DB00004,BE0000658
41,DB00004,BE0000658
47,DB00004,BE0000651
48,DB00004,BE0000651
46,DB00004,BE0000651
37,DB00004,BE0000651
17,DB00004,BE0000651
41,DB00004,BE0000651
49,DB00005,
50,DB00005,
51,DB00005,
52,DB00005,
53,DB00005,
54,DB00005,
55,DB00005,
56,DB00005,
57,DB00005,
58,DB00005,
59,DB00005,BE0000704
60,DB00005,BE0000704
61,DB00005,BE0000704
62,DB00005,BE0000704
63,DB00005,BE0000704
17,DB00005,BE0000704
64,DB00005,BE0000704
65,DB00005,BE0001087
66,DB00005,BE0001087
67,DB00005,BE0001087
68,DB00005,BE0001087
49,DB00005,BE0000710
69,DB00005,BE0000710
70,DB00005,BE0002098
71,DB00005,BE0002098
49,DB00005,BE0002098
69,DB00005,BE0002098
49,DB00005,BE0002099
69,DB00005,BE0002099
72,DB00005,BE0002100
73,DB00005,BE0002100
69,DB00005,BE0002100
70,DB00005,BE0002097
71,DB00005,BE0002097
49,DB00005,BE0002097
69,DB00005,BE0002097
72,DB00005,BE0000901
74,DB00005,BE0000901
70,DB00005,BE0000901
71,DB00005,BE0000901
69,DB00005,BE0000901
49,DB00005,BE0009995
75,DB00006,
76,DB00006,
77,DB00006,
78,DB00006,
79,DB00006,
80,DB00006,
81,DB00006,
82,DB00006,BE0000048
83,DB00006,BE0000048
84,DB00006,BE0000048
85,DB00006,BE0000048
86,DB00006,BE0000048
17,DB00006,BE0000048
16,DB00006,BE0000048
87,DB00006,BE0001075
88,DB00007,
89,DB00007,
90,DB00007,
91,DB00007,
92,DB00007,
93,DB00007,
94,DB00007,
95,DB00007,
96,DB00007,
97,DB00007,
98,DB00007,
99,DB00007,
100,DB00007,
101,DB00007,BE0000203
102,DB00007,BE0000203
103,DB00007,BE0000203
104,DB00007,BE0000203
105,DB00007,BE0000203
