salt_id,drugbank_id,name,unii,cas_number,inchikey,average_mass,monoisotopic_mass
DBSALT000105,DB00007,Leuprolide acetate,37JNS02E7V,74381-53-6,YFDMUNOZURYOCP-XNHQSDQCSA-N,1269.473,1268.666591578
DBSALT003182,DB00007,Leuprolide mesylate,8E3C3C493W,944347-41-5,MBIDSOMXPLCOHS-XNHQSDQCSA-N,1305.52,1304.633577372
DBSALT001439,DB00010,Sermorelin acetate,00IBG87IQW,114466-38-5,,,
DBSALT000093,DB00014,Goserelin acetate,6YUU2PV0U8,145781-92-6,IKDXDQDKCZPQSZ-JHYYTBFNSA-N,1329.4624,1328.662568858
DBSALT001733,DB00030,Insulin human zinc suspension,,,,,
DBSALT001734,DB00030,NPH insulin,38K542K6ZV,53027-39-7,,,
DBSALT001154,DB00035,Desmopressin acetate,XB13HYU18U,62357-86-2,YNKFCNRZZPFMEX-XHPDKPNGSA-N,1183.32,1182.479779327
DBSALT000044,DB00035,Desmopressin acetate anhydrous,1K12647SFC,62288-83-9,MLSVJHOYXJGGTR-IFHOVBQLSA-N,1129.269,1128.448084334
DBSALT001413,DB00040,Glucagon hydrochloride,1H87NVF4DB,19179-82-9,,,
DBSALT000021,DB00050,Cetrorelix acetate,W9Y8L7GP4C,130143-01-0,DTPVYWHLQLAXFT-SMCUOGPFSA-N,1551.17,1549.7120771
DBSALT002464,DB00067,Argipressin,Y4907O6MFD,113-79-1,KBZOIRJILGZLEJ-LGYYRGKSSA-N,1084.24,1083.437854941
DBSALT001735,DB00071,Insulin suspension isophane purified pork,,,,,
DBSALT001736,DB00071,Insulin suspension protamine zinc purified pork,,,,,
DBSALT001737,DB00071,Insulin zinc suspension prompt purified pork,,,,,
DBSALT001738,DB00071,Insulin zinc suspension purified pork,,,,,
DBSALT000130,DB00104,Octreotide acetate,75R0U2568I,79517-01-4,XQEJFZYLWPSJOV-XJQYZYIXSA-N,1079.3,1078.461610082
DBSALT003592,DB00104,Octreotide hydrochloride,H92K6Q47Q9,1607842-55-6,PPJMKGDKFBCNIY-JJLDZMCOSA-N,1092.16,1090.3938362
DBSALT002951,DB00104,Octreotide pamoate,MWH8YQ1AIO,135467-16-2,KFWJVABDRRDUHY-XJQYZYIXSA-N,1407.62,1406.535168948
DBSALT001801,DB00114,Pyridoxal phosphate hydrate,5V5IOJ8338,41468-25-1,CEEQUQSGVRRXQI-UHFFFAOYSA-N,265.158,265.035138728
DBSALT002949,DB00117,Histidine monohydrochloride monohydrate,X573657P6P,5934-29-2,CMXXUDSWGMGYLZ-XRIGFGBMSA-N,209.63,209.056719
DBSALT000873,DB00118,Ademetionine butanedisulfonate,C5BTS0548U,200393-05-1,TYXBLACMHQBEEW-XKGORWRGSA-N,616.68,616.129119396
DBSALT000875,DB00118,Ademetionine disulfate ditosylate,,,,,
DBSALT000876,DB00118,Ademetionine disulfate monotosylate,,,,,
DBSALT000874,DB00118,Ademetionine disulfate tosylate,564ROC9U09,97540-22-2,XDCFCHNAIMYBAZ-XQVUROGGSA-N,766.78,766.091413735
DBSALT000872,DB00118,Ademetionine tosylate,,,,,
DBSALT002377,DB00119,Calcium pyruvate,9V2CQZ19N4,,,,
DBSALT003201,DB00119,Methylselenopyruvate,,,,,
DBSALT001546,DB00119,Sodium pyruvate,POD38AIF08,113-24-6,DAEPDZWVDSPTHF-UHFFFAOYSA-M,110.044,109.99798824
DBSALT001774,DB00120,Phenylalanine hydrochloride,L6O14A5L6Q,17585-69-2,ZAIZDXVMSSDZFA-QRPNPIFTSA-N,201.65,201.0556563
DBSALT002207,DB00120,Phenylalanine sodium,M67R83MDEE,16480-57-2,ZRVUAXXSASAVFG-QRPNPIFTSA-M,187.174,187.06092285
DBSALT001542,DB00122,Choline bitartrate,6K2W7T9V6Y,87-67-2,QWJSAWXRUVVRLH-LREBCSMRSA-M,253.251,253.116151956
DBSALT003461,DB00122,Choline chloride,45I14D8O27,67-48-1,,,
DBSALT001763,DB00123,Lysine acetate,TTL6G7LIWZ,57282-49-2,RRNJROHIFSLGRA-JEDNCBNOSA-N,206.242,206.126657068
DBSALT003341,DB00123,Lysine dihydrate,,,,,
DBSALT001756,DB00123,Lysine hydrochloride,JNJ23Q2COM,657-27-2,BVHLGVCQOALMSV-JEDNCBNOSA-N,182.649,182.082205441
DBSALT003003,DB00123,Lysine monohydrate,F7625B974U,39665-12-8,HZRUTVAFDWTKGD-JEDNCBNOSA-N,164.205,164.116092383
DBSALT003350,DB00125,Arginine butyrate,IK8S1P79MU,80407-72-3,,,
DBSALT000869,DB00125,Arginine hydrochloride,F7LTH1E20Y,1119-34-2,KWTQSFXGGICVPE-WCCKRBBISA-N,210.662,210.088353451
DBSALT002898,DB00129,Ornithine aspartate,JA08T3B97O,3230-94-2,IXUZXIMQZIMPSQ-ZBRNBAAYSA-N,265.266,265.127385344
DBSALT001925,DB00129,Ornithine dihydrochloride,8N284L2VLC,6211-16-1,HGBAVEGDXFHRQP-FHNDMYTFSA-N,205.08,204.0432331
DBSALT002530,DB00129,Ornithine hydrochloride,HBK84K66XH,3184-13-2,GGTYBZJRPHEQDG-WCCKRBBISA-N,168.62,168.0665554
DBSALT002529,DB00129,Ornithine oxoglurate,4FEN49K96W,5191-97-9,SLPUVFBNQHVEEU-WCCKRBBISA-N,278.261,278.111400928
DBSALT002231,DB00130,Glutamine sodium,IA7707HOQ8,73477-31-3,YWOPZILGDZKFFC-DFWYDOINSA-M,168.128,168.05108644
DBSALT002219,DB00134,Methionine hydrochloride,99JNR46OKX,6810-12-4,OSUIUMQSEFFIKM-WCCKRBBISA-N,185.67,185.0277275
DBSALT003566,DB00139,Sodium succinate,V8ZGC8ISR3,150-90-3,,,
DBSALT002842,DB00140,Riboflavin sodium,04SRR95RP8,7681-29-0,YXJHJCDOUFKMBG-BMZHGHOISA-M,398.351,398.12022863
DBSALT002484,DB00142,Glutamic acid hydrochloride,M0C2SP444T,138-15-8,RPAJSBKBKSSMLJ-DFWYDOINSA-N,183.59,183.0298355
DBSALT002443,DB00146,Calcifediol hydrate,P6YZ13C99Q,63283-36-3,WRLFSJXJGJBFJQ-WPUCQFJDSA-N,418.662,418.344695341
DBSALT003560,DB00148,Creatine monohydrate,9603LN7R2Q,6020-87-7,MEJYXFHCRXAUIL-UHFFFAOYSA-N,149.15,149.080041226
DBSALT001773,DB00149,L-Leucine hydrochloride,N39KV97633,760-84-9,XKZZNHPZEPVUQK-JEDNCBNOSA-N,167.63,167.0713064
DBSALT001754,DB00151,Cysteine hydrochloride,ZT934N0X4W,7048-04-6,QIJRTFXNRTXDIP-JIZZDEOASA-N,175.63,175.0069921
DBSALT002650,DB00152,Thiamine chloride,X66NSO3N35,59-43-8,MYVIATVLJGTBFV-UHFFFAOYSA-M,300.808,300.081159583
DBSALT000205,DB00152,Thiamine hydrochloride,M572600E5P,67-03-8,DPJRMOMPQZCRJU-UHFFFAOYSA-M,337.269,336.057837322
DBSALT001495,DB00152,Thiamine mononitrate,8K0I04919X,532-43-4,UIERGBJEBXXIGO-UHFFFAOYSA-N,327.359,327.100124747
DBSALT001918,DB00158,Folate sodium,9P9W8GGU78,6484-89-5,SWIRFWUEJODNRG-CURYUGHLSA-L,485.368,485.10356986
DBSALT002305,DB00159,Icosapent sodium,5PXN91KPRO,73167-03-0,RBZYGQJEMWGTOH-RSDXMDNYSA-M,324.44,324.20652445
DBSALT001720,DB00162,Vitamin A acetate,3LE3D9D6OY,127-47-9,QGNJRVVDBSJHIZ-QHLGVNSISA-N,328.496,328.24023027
DBSALT000855,DB00162,Vitamin A palmitate,1D1K0N0VVC,79-81-2,VYGQUTWHTHXGQB-FFHKNEKCSA-N,524.8604,524.459331164
DBSALT000151,DB00165,Pyridoxine hydrochloride,68Y4CF58BV,58-56-0,ZUFQODAHGAHPFQ-UHFFFAOYSA-N,205.639,205.050570962
DBSALT002225,DB00173,Adenine hydrochloride,364H11M7OD,2922-28-3,UQVDQSWZQXDUJB-UHFFFAOYSA-N,171.59,171.0311729
DBSALT002226,DB00173,Adenine sulfate,741GJF3K9M,321-30-2,LQXHSCOPYJCOMD-UHFFFAOYSA-N,368.33,368.07637008
DBSALT000146,DB00175,Pravastatin sodium,3M8608UQ61,81131-70-6,VWBQYTRBTXKKOG-IYNICTALSA-M,446.5096,446.228048149
DBSALT000879,DB00176,Fluvoxamine maleate,5LGN83G74V,61718-82-9,LFMYNZPAVPMEGP-PIDGMYBPSA-N,434.412,434.166471022
DBSALT001845,DB00180,Flunisolide hemihydrate,QK4DYS664X,77326-96-6,MIXMJCQRHVAJIO-TZHJZOAOSA-N,887.024,886.431498447
DBSALT002256,DB00181,Baclofen hydrochloride,64OSE3996V,28311-31-1,WMNUVYYLMCMHLU-UHFFFAOYSA-N,250.12,249.0323341
DBSALT001323,DB00182,Amphetamine adipate,Z58RH02W4M,64770-51-0,OFCJKOOVFDGTLY-UHFFFAOYSA-N,281.352,281.162708225
DBSALT001345,DB00182,Amphetamine aspartate,UUW3P773JC,25333-81-7,OJNSNSZTGUACNI-VAGRMJETSA-N,403.523,403.247106555
DBSALT001501,DB00182,Amphetamine aspartate monohydrate,7L4L5TTE5R,851591-76-9,DAWXRFCLWKUCNS-MNTSKLTCSA-N,421.538,421.257671239
DBSALT001205,DB00182,Amphetamine sulfate,6DPV8NK46S,60-13-9,PYHRZPFZZDCOPH-UHFFFAOYSA-N,368.49,368.176978564
DBSALT002418,DB00184,Nicotine bitartrate,7892ZN5G41,65-31-6,RFEJUZJILGIRHQ-OMDKHLBYSA-N,462.408,462.148574285
DBSALT002417,DB00184,Nicotine bitartrate dihydrate,R7M676M8YV,6019-06-3,LDMPZNTVIGIREC-ZGPNLCEMSA-N,498.438,498.169703654
DBSALT000805,DB00185,Cevimeline hydrochloride,P81Q6V85NP,153504-70-2,ZSTLCHCDLIUXJE-ZGBAEQJLSA-N,489.56,488.1700908
DBSALT003577,DB00185,Cevimeline hydrochloride anhydrous,H0913EZ23C,107220-28-0,SURWTGAXEIEOGY-KXNXZCPBSA-N,235.77,235.0797631
DBSALT000586,DB00187,Esmolol hydrochloride,V05260LC8D,81161-17-3,GEKNCWBANDDJJL-UHFFFAOYSA-N,331.835,331.155036032
DBSALT001834,DB00190,Carbidopa hydrate,MNX7R8C5VO,38821-49-7,QTAOMKOIBXZKND-PPHPATTJSA-N,244.2444,244.105921632
DBSALT000138,DB00191,Phentermine hydrochloride,0K2I505OTV,1197-21-3,NCAIGTHBQTXTLR-UHFFFAOYSA-N,185.694,185.097127224
DBSALT000880,DB00192,Indecainide hydrochloride,M76V0B96L5,73681-12-6,NXNSCUZKMVYAJQ-UHFFFAOYSA-N,344.88,344.1655411
DBSALT000181,DB00193,Tramadol hydrochloride,9N7R477WCK,36282-47-0,PPKXEPBICJTCRU-UHFFFAOYSA-N,299.84,299.1652068
