node_idx,average_mass,monoisotopic_mass,is_biotech,state_solid,state_liquid,state_gas,calc_logP,calc_logS,calc_mol_weight,calc_hbd,calc_hba,calc_rotb,calc_psa,calc_charge,calc_n_rings,calc_bioavail,calc_rule5,calc_ghose,calc_mddrl,calc_refractivity,calc_polarizability,calc_pka_acid,calc_pka_basic,exp_logP,exp_logS,exp_melting_pt,exp_boiling_pt,exp_water_sol,exp_pKa,is_withdrawn,is_investigational,is_vet_approved,is_nutraceutical,is_illicit,n_targets,n_enzymes,n_carriers,n_transporters,n_categories,n_atc_codes,n_patents,n_products,n_food_interactions,n_synonyms,atc_A,atc_B,atc_C,atc_D,atc_G,atc_H,atc_J,atc_L,atc_M,atc_N,atc_P,atc_R,atc_S,atc_V,kingdom_organic,kingdom_inorganic,sc_organoheterocyclic_compounds,sc_benzenoids,sc_organic_acids,sc_organic_acids_and_derivatives,sc_lipids_and_lipid-like_molecule,sc_organic_oxygen_compounds,sc_phenylpropanoids_and_polyketid,sc_mixed_metal_non-metal_compound,sc_organic_nitrogen_compounds,sc_alkaloids_and_derivatives
0,-0.1312662493366925,-0.13262052635055643,1.0,1.0,0.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.155303132061729,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,6.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.1992543678288672,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.13332751417816,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.089376278411022,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,21.0,1.0,3.0,89.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.411732103022865,7.415146588635637,0.0,1.0,0.0,0.0,-1.468771773465717,-0.8945023461964302,7.411732103022865,9.82796408444764,8.845351027069317,10.074657573836449,10.266991123067971,-4.540392681644536,2.2571522684921272,-3.2187572328514045,-2.3425100513830497,-0.6327127096901252,2.5317565522595,8.173765617634292,8.226561312581572,-1.6804275877436095,2.0443814628505437,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,8.0,35.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.1312662493366925,-0.13262052635055643,1.0,1.0,0.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.2213393720100442,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,2.0,34.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.1992543678288672,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,2.0,2.0,28.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2102421767706517,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,2.0,0.0,10.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
