node_idx,drugbank_id,name
0,DB00001,Lepirudin
1,DB00002,Cetuximab
2,DB00003,Dornase alfa
3,DB00004,Denileukin diftitox
4,DB00005,Etanercept
5,DB00006,Bivalirudin
6,DB00007,Leuprolide
7,DB00008,Peginterferon alfa-2a
8,DB00009,Alteplase
9,DB00010,Sermorelin
10,DB00011,Interferon alfa-n1
11,DB00012,Darbepoetin alfa
12,DB00013,Urokinase
13,DB00014,Goserelin
14,DB00015,Reteplase
15,DB00016,Erythropoietin
16,DB00017,Salmon calcitonin
17,DB00018,Interferon alfa-n3
18,DB00019,Pegfilgrastim
19,DB00020,Sargramostim
20,DB00022,Peginterferon alfa-2b
21,DB00023,Asparaginase Escherichia coli
22,DB00024,Thyrotropin alfa
23,DB00025,"Antihemophilic factor, human recombinant"
24,DB00026,Anakinra
25,DB00027,Gramicidin D
26,DB00028,Human immunoglobulin G
27,DB00029,Anistreplase
28,DB00030,Insulin human
29,DB00031,Tenecteplase
30,DB00032,Menotropins
31,DB00033,Interferon gamma-1b
32,DB00034,Interferon alfa-2a
33,DB00035,Desmopressin
34,DB00036,Coagulation factor VIIa Recombinant Human
35,DB00038,Oprelvekin
36,DB00039,Palifermin
37,DB00040,Glucagon
38,DB00041,Aldesleukin
39,DB00042,Botulinum toxin type B
40,DB00043,Omalizumab
41,DB00044,Lutropin alfa
42,DB00045,Lyme disease vaccine (recombinant OspA)
43,DB00046,Insulin lispro
44,DB00047,Insulin glargine
45,DB00048,Collagenase clostridium histolyticum
46,DB00049,Rasburicase
47,DB00050,Cetrorelix
48,DB00051,Adalimumab
49,DB00052,Somatotropin
50,DB00053,Imiglucerase
51,DB00054,Abciximab
52,DB00055,Drotrecogin alfa
53,DB00056,Gemtuzumab ozogamicin
54,DB00057,Indium In-111 satumomab pendetide
55,DB00058,Alpha-1-proteinase inhibitor
56,DB00059,Pegaspargase
57,DB00060,Interferon beta-1a
58,DB00061,Pegademase
59,DB00062,Albumin human
60,DB00063,Eptifibatide
61,DB00065,Infliximab
62,DB00066,Follitropin
63,DB00067,Vasopressin
64,DB00068,Interferon beta-1b
65,DB00069,Interferon alfacon-1
66,DB00070,Hyaluronidase (ovine)
67,DB00071,Insulin pork
68,DB00072,Trastuzumab
69,DB00073,Rituximab
70,DB00074,Basiliximab
71,DB00075,Muromonab
72,DB00076,Digoxin Immune Fab (Ovine)
73,DB00078,Ibritumomab tiuxetan
74,DB00080,Daptomycin
75,DB00081,Tositumomab
76,DB00082,Pegvisomant
77,DB00083,Botulinum toxin type A
78,DB00085,Pancrelipase
79,DB00086,Streptokinase
80,DB00087,Alemtuzumab
81,DB00088,Alglucerase
82,DB00089,Capromab pendetide
83,DB00090,Laronidase
84,DB00091,Cyclosporine
85,DB00092,Alefacept
86,DB00094,Urofollitropin
87,DB00095,Efalizumab
88,DB00097,Choriogonadotropin alfa
89,DB00098,Antithymocyte immunoglobulin (rabbit)
90,DB00099,Filgrastim
91,DB00100,Coagulation Factor IX (Recombinant)
92,DB00102,Becaplermin
93,DB00103,Agalsidase beta
94,DB00104,Octreotide
95,DB00105,Interferon alfa-2b
96,DB00106,Abarelix
97,DB00107,Oxytocin
98,DB00108,Natalizumab
99,DB00109,Enfuvirtide
100,DB00110,Palivizumab
101,DB00111,Daclizumab
102,DB00112,Bevacizumab
103,DB00114,Pyridoxal phosphate
104,DB00115,Cyanocobalamin
105,DB00117,Histidine
106,DB00118,Ademetionine
107,DB00119,Pyruvic acid
108,DB00120,Phenylalanine
109,DB00121,Biotin
110,DB00122,Choline
111,DB00123,Lysine
112,DB00125,Arginine
113,DB00126,Ascorbic acid
114,DB00128,Aspartic acid
115,DB00129,Ornithine
116,DB00130,L-Glutamine
117,DB00131,Adenosine phosphate
118,DB00132,alpha-Linolenic acid
119,DB00133,Serine
120,DB00134,Methionine
121,DB00135,Tyrosine
122,DB00136,Calcitriol
123,DB00137,Lutein
124,DB00138,Cystine
125,DB00139,Succinic acid
126,DB00140,Riboflavin
127,DB00141,N-Acetylglucosamine
128,DB00142,Glutamic acid
129,DB00143,Glutathione
130,DB00144,Phosphatidyl serine
131,DB00145,Glycine
132,DB00146,Calcifediol
133,DB00148,Creatine
134,DB00149,Leucine
135,DB00150,Tryptophan
136,DB00151,Cysteine
137,DB00152,Thiamine
138,DB00153,Ergocalciferol
139,DB00156,Threonine
140,DB00157,NADH
141,DB00158,Folic acid
142,DB00159,Icosapent
143,DB00160,Alanine
144,DB00161,Valine
145,DB00162,Vitamin A
146,DB00163,Vitamin E
147,DB00165,Pyridoxine
148,DB00166,Lipoic acid
149,DB00167,Isoleucine
150,DB00169,Cholecalciferol
151,DB00170,Menadione
152,DB00172,Proline
153,DB00173,Adenine
154,DB00174,Asparagine
155,DB00175,Pravastatin
156,DB00176,Fluvoxamine
157,DB00177,Valsartan
158,DB00178,Ramipril
159,DB00180,Flunisolide
160,DB00181,Baclofen
161,DB00182,Amphetamine
162,DB00183,Pentagastrin
163,DB00184,Nicotine
164,DB00185,Cevimeline
165,DB00186,Lorazepam
166,DB00187,Esmolol
167,DB00188,Bortezomib
168,DB00189,Ethchlorvynol
169,DB00190,Carbidopa
170,DB00191,Phentermine
171,DB00192,Indecainide
172,DB00193,Tramadol
173,DB00194,Vidarabine
174,DB00195,Betaxolol
175,DB00196,Fluconazole
176,DB00197,Troglitazone
177,DB00198,Oseltamivir
178,DB00199,Erythromycin
179,DB00200,Hydroxocobalamin
180,DB00201,Caffeine
181,DB00202,Succinylcholine
182,DB00203,Sildenafil
183,DB00204,Dofetilide
184,DB00205,Pyrimethamine
185,DB00206,Reserpine
186,DB00207,Azithromycin
187,DB00208,Ticlopidine
188,DB00209,Trospium
189,DB00210,Adapalene
190,DB00211,Midodrine
191,DB00213,Pantoprazole
192,DB00214,Torasemide
193,DB00215,Citalopram
194,DB00216,Eletriptan
195,DB00217,Bethanidine
196,DB00218,Moxifloxacin
197,DB00219,Oxyphenonium
198,DB00220,Nelfinavir
199,DB00221,Isoetharine
200,DB00222,Glimepiride
201,DB00223,Diflorasone
202,DB00224,Indinavir
203,DB00225,Gadodiamide
204,DB00226,Guanadrel
205,DB00227,Lovastatin
206,DB00228,Enflurane
207,DB00229,Cefotiam
208,DB00230,Pregabalin
209,DB00231,Temazepam
210,DB00232,Methyclothiazide
211,DB00233,Aminosalicylic acid
212,DB00234,Reboxetine
213,DB00235,Milrinone
214,DB00236,Pipobroman
215,DB00237,Butabarbital
216,DB00238,Nevirapine
217,DB00239,Oxiconazole
218,DB00240,Alclometasone
219,DB00241,Butalbital
220,DB00242,Cladribine
221,DB00243,Ranolazine
222,DB00244,Mesalazine
223,DB00245,Benzatropine
224,DB00246,Ziprasidone
225,DB00247,Methysergide
226,DB00248,Cabergoline
227,DB00249,Idoxuridine
228,DB00250,Dapsone
229,DB00251,Terconazole
230,DB00252,Phenytoin
231,DB00253,Medrysone
232,DB00254,Doxycycline
233,DB00255,Diethylstilbestrol
234,DB00256,Lymecycline
235,DB00257,Clotrimazole
236,DB00258,Calcium acetate
237,DB00259,Sulfanilamide
238,DB00260,Cycloserine
239,DB00261,Anagrelide
240,DB00262,Carmustine
241,DB00263,Sulfisoxazole
242,DB00264,Metoprolol
243,DB00265,Crotamiton
244,DB00266,Dicoumarol
245,DB00267,Cefmenoxime
246,DB00268,Ropinirole
247,DB00269,Chlorotrianisene
248,DB00270,Isradipine
249,DB00271,Diatrizoate
250,DB00272,Betazole
251,DB00273,Topiramate
252,DB00274,Cefmetazole
253,DB00275,Olmesartan
254,DB00276,Amsacrine
255,DB00277,Theophylline
256,DB00278,Argatroban
257,DB00279,Liothyronine
258,DB00280,Disopyramide
259,DB00281,Lidocaine
260,DB00282,Pamidronic acid
261,DB00283,Clemastine
262,DB00284,Acarbose
263,DB00285,Venlafaxine
264,DB00286,Conjugated estrogens
265,DB00287,Travoprost
266,DB00288,Amcinonide
267,DB00289,Atomoxetine
268,DB00290,Bleomycin
269,DB00291,Chlorambucil
270,DB00292,Etomidate
271,DB00293,Raltitrexed
272,DB00294,Etonogestrel
273,DB00295,Morphine
274,DB00296,Ropivacaine
275,DB00297,Bupivacaine
276,DB00298,Dapiprazole
277,DB00299,Penciclovir
