polypeptide_id,attr_type,value,value2
P00734,synonym,3.4.21.5,
P00734,synonym,Coagulation factor II,
P00734,pfam,PF00051,Kringle
P00734,pfam,PF00089,Trypsin
P00734,pfam,PF09396,Thrombin_light
P00734,pfam,PF00594,Gla
P00734,go_classifier,component,collagen-containing extracellular matrix
P00734,go_classifier,function,heparin binding
P00734,go_classifier,function,lipopolysaccharide binding
P00734,go_classifier,function,receptor ligand activity
P00734,go_classifier,function,signaling receptor binding
P00734,go_classifier,process,antimicrobial humoral immune response mediated by antimicrobial peptide
P00734,go_classifier,process,cytolysis by host of symbiont cells
P00734,go_classifier,process,ligand-gated ion channel signaling pathway
P00734,go_classifier,process,negative regulation of blood coagulation
P00734,go_classifier,process,negative regulation of cytokine production involved in inflammatory response
P00734,go_classifier,process,neutrophil-mediated killing of gram-negative bacterium
P00734,go_classifier,process,positive regulation of cell population proliferation
P00734,go_classifier,process,positive regulation of insulin secretion
P00734,go_classifier,process,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
P00734,go_classifier,process,positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway
P00734,go_classifier,process,positive regulation of protein localization to nucleus
P00734,go_classifier,process,positive regulation of receptor signaling pathway via JAK-STAT
P00734,go_classifier,process,regulation of cytosolic calcium ion concentration
P00734,go_classifier,process,thrombin-activated receptor signaling pathway
P00533,synonym,2.7.10.1,
P00533,synonym,ERBB,
P00533,synonym,ERBB1,
P00533,synonym,HER1,
P00533,synonym,Proto-oncogene c-ErbB-1,
P00533,synonym,Receptor tyrosine-protein kinase erbB-1,
P00533,pfam,PF00757,Furin-like
P00533,pfam,PF01030,Recep_L_domain
P00533,pfam,PF14843,GF_recep_IV
P00533,pfam,PF21314,TM_ErbB1
P00533,pfam,PF07714,PK_Tyr_Ser-Thr
P00533,go_classifier,component,basal plasma membrane
P00533,go_classifier,component,cell junction
P00533,go_classifier,component,clathrin-coated endocytic vesicle membrane
P00533,go_classifier,component,intracellular vesicle
P00533,go_classifier,component,protein-containing complex
P00533,go_classifier,component,ruffle membrane
P00533,go_classifier,function,ATPase binding
P00533,go_classifier,function,cadherin binding
P00533,go_classifier,function,epidermal growth factor binding
P00533,go_classifier,function,epidermal growth factor receptor activity
P00533,go_classifier,function,kinase binding
P00533,go_classifier,function,protein tyrosine kinase activator activity
P00533,go_classifier,function,virus receptor activity
P00533,go_classifier,process,cell-cell adhesion
P00533,go_classifier,process,epithelial cell proliferation
P00533,go_classifier,process,ERBB2-EGFR signaling pathway
P00533,go_classifier,process,eyelid development in camera-type eye
P00533,go_classifier,process,negative regulation of cardiocyte differentiation
P00533,go_classifier,process,positive regulation of canonical Wnt signaling pathway
P00533,go_classifier,process,positive regulation of cell growth
P00533,go_classifier,process,positive regulation of cell population proliferation
P00533,go_classifier,process,positive regulation of G1/S transition of mitotic cell cycle
P00533,go_classifier,process,positive regulation of miRNA transcription
P00533,go_classifier,process,positive regulation of peptidyl-serine phosphorylation
P00533,go_classifier,process,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
P00533,go_classifier,process,positive regulation of protein localization to plasma membrane
P00533,go_classifier,process,positive regulation of transcription by RNA polymerase II
O75015,synonym,CD16-I,
O75015,synonym,CD16B,
O75015,synonym,Fc-gamma RIII,
O75015,synonym,Fc-gamma RIII-beta,
O75015,synonym,Fc-gamma RIIIb,
O75015,synonym,FCG3,
O75015,synonym,FCGR3,
O75015,synonym,FcR-10,
O75015,synonym,FcRIII,
O75015,synonym,FcRIIIb,
O75015,synonym,IGFR3,
O75015,synonym,IgG Fc receptor III-1,
O75015,pfam,PF13895,Ig_2
O75015,go_classifier,component,external side of plasma membrane
O75015,go_classifier,component,extracellular region
O75015,go_classifier,component,secretory granule membrane
O75015,go_classifier,function,GPI anchor binding
O75015,go_classifier,function,IgG binding
O75015,go_classifier,function,IgG receptor activity
O75015,go_classifier,process,antibody-dependent cellular cytotoxicity
O75015,go_classifier,process,cell surface receptor signaling pathway
P02745,pfam,PF01391,Collagen
P02745,pfam,PF00386,C1q
P02745,go_classifier,component,collagen-containing extracellular matrix
P02745,go_classifier,component,complement component C1q complex
P02745,go_classifier,component,extrinsic component of postsynaptic membrane
P02745,go_classifier,component,extrinsic component of presynaptic membrane
P02745,go_classifier,component,glutamatergic synapse
P02745,go_classifier,component,postsynapse
P02745,go_classifier,component,synapse
P02745,go_classifier,function,amyloid-beta binding
P02745,go_classifier,process,astrocyte activation
P02745,go_classifier,process,complement-mediated synapse pruning
P02745,go_classifier,process,microglial cell activation
P02745,go_classifier,process,neuron remodeling
P02745,go_classifier,process,synapse organization
P02745,go_classifier,process,synapse pruning
P02745,go_classifier,process,vertebrate eye-specific patterning
P02746,pfam,PF01391,Collagen
P02746,pfam,PF00386,C1q
P02746,go_classifier,component,collagen-containing extracellular matrix
P02746,go_classifier,component,complement component C1q complex
P02746,go_classifier,component,postsynapse
P02746,go_classifier,component,synapse
P02746,go_classifier,process,synapse pruning
P02747,synonym,C1QG,
P02747,pfam,PF01391,Collagen
P02747,pfam,PF00386,C1q
P02747,go_classifier,component,collagen-containing extracellular matrix
P02747,go_classifier,component,complement component C1 complex
P02747,go_classifier,component,complement component C1q complex
P02747,go_classifier,component,extrinsic component of postsynaptic membrane
P02747,go_classifier,component,extrinsic component of presynaptic membrane
P02747,go_classifier,component,glutamatergic synapse
P02747,go_classifier,component,postsynapse
P02747,go_classifier,component,synapse
P02747,go_classifier,process,synapse pruning
P08637,synonym,CD16-II,
P08637,synonym,CD16A,
P08637,synonym,CD16a antigen,
P08637,synonym,Fc-gamma RIII,
P08637,synonym,Fc-gamma RIII-alpha,
P08637,synonym,Fc-gamma RIIIa,
P08637,synonym,FCG3,
P08637,synonym,FcgammaRIIIA,
P08637,synonym,FCGR3,
P08637,synonym,FcR-10,
P08637,synonym,FcRIII,
P08637,synonym,FcRIIIa,
P08637,synonym,IGFR3,
P08637,synonym,IgG Fc receptor III-2,
P08637,synonym,IgG Fc receptor III-A,
P08637,pfam,PF13895,Ig_2
P08637,go_classifier,component,extracellular space
P08637,go_classifier,component,Fc-gamma receptor III complex
P08637,go_classifier,function,IgG binding
P08637,go_classifier,function,IgG receptor activity
P08637,go_classifier,function,immune receptor activity
P08637,go_classifier,function,low-affinity IgG receptor activity
P08637,go_classifier,process,antibody-dependent cellular cytotoxicity
P08637,go_classifier,process,calcium-mediated signaling
P08637,go_classifier,process,cell surface receptor signaling pathway
P08637,go_classifier,process,Fc-gamma receptor signaling pathway
P08637,go_classifier,process,macrophage activation
P08637,go_classifier,process,natural killer cell activation
P08637,go_classifier,process,natural killer cell degranulation
