interactant_id,name,organism
BE0000048,Prothrombin,Humans
BE0000767,Epidermal growth factor receptor,Humans
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans
BE0002094,Complement C1q subcomponent subunit A,Humans
BE0002095,Complement C1q subcomponent subunit B,Humans
BE0002096,Complement C1q subcomponent subunit C,Humans
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans
BE0012829,Deoxyribonuclease-1,Humans
BE0000658,Interleukin-2 receptor subunit alpha,Humans
BE0000651,Interleukin-2 receptor subunit beta,Humans
BE0000704,Tumor necrosis factor,Humans
BE0001087,Lymphotoxin-alpha,Humans
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans
BE0009995,Complement component 1q (C1q),Humans
BE0001075,Myeloperoxidase,Humans
BE0000203,Gonadotropin-releasing hormone receptor,Humans
BE0010526,Progonadoliberin-1,Humans
BE0000385,Interferon alpha/beta receptor 2,Humans
BE0000661,Interferon alpha/beta receptor 1,Humans
BE0003450,Interferon alpha-2,Humans
BE0002433,Cytochrome P450 1A2,Humans
BE0000211,Plasminogen,Humans
BE0000538,Fibrinogen alpha chain,Humans
BE0002092,Fibrinogen gamma chain,Humans
BE0000240,Plasminogen activator inhibitor 1,Humans
BE0000625,Growth hormone-releasing hormone receptor,Humans
BE0000654,Erythropoietin receptor,Humans
BE0000717,Urokinase plasminogen activator surface receptor,Humans
BE0000969,Plasminogen activator inhibitor 2,Humans
BE0000895,Urokinase-type plasminogen activator,Humans
BE0002112,Plasma serine protease inhibitor,Humans
BE0000942,Low-density lipoprotein receptor-related protein 2,Humans
BE0001656,Suppressor of tumorigenicity 14 protein,Humans
BE0002113,Nidogen-1,Humans
BE0001198,Macrophage metalloelastase,Humans
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans
BE0000431,Calcitonin receptor,Humans
BE0000793,Granulocyte colony-stimulating factor receptor,Humans
BE0000394,Neutrophil elastase,Humans
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Humans
BE0001036,Interleukin-3 receptor subunit alpha,Humans
BE0002115,Cytokine receptor common subunit beta,Humans
BE0002116,Syndecan-2,Humans
BE0002363,Cytochrome P450 2D6,Humans
BE0002793,Cytochrome P450 2C9,Humans
BE0004798,L-asparagine,Humans
BE0000537,Thyroxine-binding globulin,Humans
BE0000490,Thyrotropin receptor,Humans
BE0000216,Coagulation factor X,Humans
BE0000364,Coagulation factor IX,Humans
BE0001043,von Willebrand factor,Humans
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",Humans
BE0002118,Asialoglycoprotein receptor 2,Humans
BE0001098,Endoplasmic reticulum chaperone BiP,Humans
BE0002109,Calreticulin,Humans
BE0001011,Calnexin,Humans
BE0002119,Protein ERGIC-53,Humans
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Humans
BE0002120,Multiple coagulation factor deficiency protein 2,Humans
BE0000380,Vitamin K-dependent protein C,Humans
BE0000565,Interleukin-1 receptor type 1,Humans
BE0000803,Dihydropteroate synthase,Escherichia coli (strain K12)
BE0001032,ATP-dependent translocase ABCB1,Humans
BE0004684,Putative high affinity immunoglobulin gamma Fc receptor IB,Humans
BE0003455,Complement C3,Humans
BE0004685,Complement C4-A,Humans
BE0004686,Complement C4-B,Humans
BE0000855,Complement C5,Humans
BE0000033,Insulin receptor,Humans
BE0000858,Insulin-like growth factor 1 receptor,Humans
BE0001123,Carboxypeptidase E,Humans
BE0001147,CCN family member 3,Humans
BE0002126,Insulin-like growth factor-binding protein 7,Humans
BE0001183,Insulin-degrading enzyme,Humans
BE0002124,Neuroendocrine convertase 2,Humans
BE0002125,Neuroendocrine convertase 1,Humans
BE0000387,Follicle-stimulating hormone receptor,Humans
BE0000711,Interferon gamma receptor 1,Humans
BE0000467,Interferon gamma receptor 2,Humans
BE0000293,Vasopressin V2 receptor,Humans
BE0000165,Vasopressin V1a receptor,Humans
BE0000773,Vasopressin V1b receptor,Humans
BE0000844,Oxytocin receptor,Humans
BE0000262,Prostaglandin G/H synthase 2,Humans
BE0000017,Prostaglandin G/H synthase 1,Humans
BE0001178,Tissue factor,Humans
BE0000416,Interleukin-11 receptor subunit alpha,Humans
BE0000748,Fibroblast growth factor receptor 2,Humans
BE0002131,Fibroblast growth factor receptor 1,Humans
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,Humans
BE0000527,Glucagon receptor,Humans
BE0002134,Glucagon-like peptide 2 receptor,Humans
BE0000857,Glucagon-like peptide 1 receptor,Humans
BE0002102,Cytokine receptor common subunit gamma,Humans
BE0001029,Interleukin-2,Humans
BE0000657,Cytosolic phospholipase A2,Humans
BE0002638,Cytochrome P450 3A4,Humans
BE0002204,Xanthine dehydrogenase/oxidase,Humans
BE0003533,Cytochrome P450 2E1,Humans
BE0002137,Vesicle-associated membrane protein 2,Humans
BE0002136,Vesicle-associated membrane protein 1,Humans
BE0002138,Synaptotagmin-2,Humans
BE0010138,Immunoglobulin heavy constant epsilon,Humans
BE0000049,High affinity immunoglobulin epsilon receptor subunit gamma,Humans
BE0001164,Toll-like receptor 2,Humans
BE0003491,Insulin,Humans
BE0000025,Collagen alpha-1(I) chain,Humans
BE0002140,Collagen alpha-1(II) chain,Humans
BE0002130,Collagen alpha-1(III) chain,Humans
BE0004823,Uric acid,Humans
BE0000075,Growth hormone receptor,Humans
BE0000345,Prolactin receptor,Humans
BE0003536,Cytochrome P450 2C19,Humans
BE0004806,Glucocerebroside,Humans
BE0001155,Integrin beta-3,Humans
BE0000439,Integrin alpha-IIb,Humans
BE0001068,Vitronectin,Humans
BE0000016,Coagulation factor VIII,Humans
BE0000041,Coagulation factor V,Humans
BE0001151,Thrombomodulin,Humans
BE0000943,Vitamin K-dependent protein S,Humans
BE0001129,Platelet factor 4,Humans
BE0002142,Serpin B6,Humans
BE0001161,Endothelial protein C receptor,Humans
BE0000674,Myeloid cell surface antigen CD33,Humans
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),Humans
BE0000926,Interferon beta,Humans
BE0004828,Adenosine,Humans
BE0000917,Growth factor receptor-bound protein 2,Humans
BE0009576,Nitric oxide,Humans
BE0009351,Voltage-dependent N-type calcium channel,Humans
BE0001069,ATP-binding cassette sub-family C member 2,Humans
BE0000984,Transforming growth factor beta-1 proprotein,Humans
BE0000530,Albumin,Humans
BE0000511,Receptor tyrosine-protein kinase erbB-2,Humans
BE0000066,B-lymphocyte antigen CD20,Humans
BE0003456,T-cell surface glycoprotein CD3 delta chain,Humans
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,Humans
BE0003457,T-cell surface glycoprotein CD3 gamma chain,Humans
BE0003458,T-cell surface glycoprotein CD3 zeta chain,Humans
BE0004837,Digoxin,Humans
BE0010021,Cytoplasmic membrane,Bacteria
BE0000925,Alpha-1-acid glycoprotein 1,Humans
BE0000952,Alpha-1-antitrypsin,Humans
BE0000499,Low-density lipoprotein receptor,Humans
BE0000685,Sex hormone-binding globulin,Humans
BE0009909,Hemopexin,Humans
BE0000549,"Sterol 26-hydroxylase, mitochondrial",Humans
BE0002240,Glutamine synthetase,Humans
BE0002180,Cholinesterase,Humans
BE0000421,Cytochrome P450 4A11,Humans
BE0000390,Synaptosomal-associated protein 25,Humans
BE0003572,Rho-related GTP-binding protein RhoB,Humans
BE0004834,Dietary fat,Humans
BE0004835,Dietary protein,Humans
BE0004836,Dietary starch,Humans
BE0000928,Proteinase-activated receptor 1,Humans
BE0000083,CAMPATH-1 antigen,Humans
BE0000568,Glutamate carboxypeptidase 2,Humans
BE0004822,Iduronic acid,Humans
BE0000379,Guided entry of tail-anchored proteins factor CAMLG,Humans
BE0002143,Calcineurin subunit B type 2,Humans
BE0001014,Peptidyl-prolyl cis-trans isomerase A,Humans
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Humans
BE0004238,Protein phosphatase 3 catalytic subunit alpha,Humans
BE0002362,Cytochrome P450 3A5,Humans
BE0000703,Bile salt export pump,Humans
BE0003643,Ileal sodium/bile acid cotransporter,Humans
BE0003644,Hepatic sodium/bile acid cotransporter,Humans
BE0001066,Solute carrier family 22 member 6,Humans
BE0003651,ATP-binding cassette sub-family C member 10,Humans
BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans
BE0001004,Solute carrier organic anion transporter family member 1B1,Humans
BE0003659,Solute carrier organic anion transporter family member 1B3,Humans
BE0000719,T-cell surface antigen CD2,Humans
BE0010569,Lymphocyte function-associated antigen 3,Humans
BE0009967,Integrin alpha-X,Humans
BE0000516,Integrin alpha-L,Humans
BE0003573,Major histocompatibility complex class I-related protein 1,Humans
BE0000846,T-lymphocyte activation antigen CD86,Humans
BE0003576,Integrin alpha-V,Humans
BE0003575,Integrin beta-1,Humans
BE0000598,T-cell surface glycoprotein CD1a,Humans
BE0003488,T-cell surface glycoprotein CD4,Humans
BE0001021,Coagulation factor XI,Humans
BE0000333,Coagulation factor VII,Humans
BE0000403,Vitamin K-dependent gamma-carboxylase,Humans
BE0000205,Platelet-derived growth factor receptor beta,Humans
BE0000852,Platelet-derived growth factor receptor alpha,Humans
BE0000910,Alpha-2-macroglobulin,Humans
BE0004830,Globotriaosylceramide,Humans
BE0004494,Cation-dependent mannose-6-phosphate receptor,Humans
BE0010008,Somatostatin receptor,Humans
BE0003528,Somatostatin receptor type 2,Humans
BE0002148,Prolyl endopeptidase,Humans
BE0010031,Leucyl-cystinyl aminopeptidase,Humans
BE0000751,Oxytocin-neurophysin 1,Humans
BE0010032,Advanced glycosylation end product-specific receptor,Humans
BE0000590,Integrin alpha-4,Humans
BE0001085,Intercellular adhesion molecule 1,Humans
BE0000398,Env polyprotein,Human immunodeficiency virus 1
BE0000686,Fusion glycoprotein F0,Human respiratory syncytial virus B (strain 18537)
BE0002093,Complement C1r subcomponent,Humans
BE0010205,Fusion glycoprotein F0,Human respiratory syncytial virus A (strain A2)
BE0000163,"Vascular endothelial growth factor A, long form",Humans
BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",Humans
BE0000102,"Alanine--glyoxylate aminotransferase 2, mitochondrial",Humans
BE0000378,Glutamate decarboxylase 1,Humans
BE0000323,Cystathionine beta-synthase,Humans
BE0000392,Kynureninase,Humans
BE0000331,"Serine hydroxymethyltransferase, cytosolic",Humans
BE0000151,Cysteine desulfurase,Humans
BE0000529,"Aspartate aminotransferase, cytoplasmic",Humans
BE0000424,"Ornithine aminotransferase, mitochondrial",Humans
BE0000404,Ornithine decarboxylase,Humans
BE0000727,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Humans
BE0000181,Pyridoxine-5'-phosphate oxidase,Humans
BE0000778,Sphingosine-1-phosphate lyase 1,Humans
BE0000692,Tyrosine aminotransferase,Humans
BE0000273,Kynurenine--oxoglutarate transaminase 1,Humans
BE0000007,"Glycogen phosphorylase, liver form",Humans
BE0000660,Serine palmitoyltransferase 2,Humans
BE0000079,Cysteine sulfinic acid decarboxylase,Humans
BE0000002,Histidine decarboxylase,Humans
BE0000448,Antizyme inhibitor 2,Humans
BE0000164,L-serine dehydratase/L-threonine deaminase,Humans
BE0000518,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",Humans
BE0000618,"Glycine dehydrogenase (decarboxylating), mitochondrial",Humans
BE0000667,Alanine aminotransferase 1,Humans
BE0000603,Phosphoserine aminotransferase,Humans
BE0000409,"5-aminolevulinate synthase, non-specific, mitochondrial",Humans
BE0000316,Alanine--glyoxylate aminotransferase,Humans
BE0000278,Chronophin,Humans
BE0000441,Serine palmitoyltransferase 1,Humans
BE0000791,Cystathionine gamma-lyase,Humans
BE0000517,"Branched-chain-amino-acid aminotransferase, cytosolic",Humans
BE0000721,"Branched-chain-amino-acid aminotransferase, mitochondrial",Humans
BE0002149,Pyridoxal phosphate homeostasis protein,Humans
BE0000383,"Aspartate aminotransferase, mitochondrial",Humans
